Plot,Elevation_22
114,1148.092610677
115,1148.097558594
116,1148.12068278
117,1147.826894531
118,1147.156018066
119,1146.313985189
120,1145.789929199
121,1145.532548828
122,1145.148486328
123,1144.666548665
124,1144.040364583
125,1152.708939616
126,1152.612976074
127,1152.268961589
128,1151.672802734
129,1150.89110989
130,1149.948387994
131,1149.304206
132,1148.742631022
133,1148.12701416
134,1147.393880208
135,1146.991834852
136,1146.977583822
137,1147.058481852
138,1147.001268175
139,1147.070566813
140,1147.283292643
141,1147.451575385
142,1147.494951036
143,1147.572184245
144,1147.842224121
145,1148.003546821
146,1148.023081462
147,1148.034169515
148,1147.781022135
149,1147.087673611
150,1146.229115804
151,1145.688819038
152,1145.432499186
153,1144.994981554
154,1144.514387343
155,1143.881717258
156,1151.938354492
157,1151.832251655
158,1151.507788764
159,1150.922790527
160,1150.159589979
161,1149.238722059
162,1148.595913357
163,1148.055688477
164,1147.46242608
165,1146.771433512
166,1146.461517334
167,1146.497599284
168,1146.618642171
169,1146.63390096
170,1146.73787774
171,1146.995100911
172,1147.229275174
173,1147.308610704
174,1147.438059489
175,1147.765828451
176,1147.916392008
177,1147.977454291
178,1148.013075087
179,1147.752937826
180,1147.043643528
181,1146.169125027
182,1145.592390272
183,1145.299886068
184,1144.841440837
185,1144.348375109
186,1143.728020562
187,1151.172041829
188,1151.063215468
189,1150.765689426
190,1150.175846354
191,1149.439805773
192,1148.545162625
193,1147.907124837
194,1147.409729004
195,1146.856536865
196,1146.233761258
197,1145.984144423
198,1146.078548177
199,1146.251875136
200,1146.307966444
201,1146.472300212
202,1146.771101888
203,1147.043389214
204,1147.170830621
205,1147.327382406
206,1147.671594238
207,1147.869344076
208,1147.959509956
209,1148.014017741
210,1147.75472819
211,1147.016788059
212,1146.109327528
213,1145.501885308
214,1145.187141927
215,1144.70646837
216,1144.186326769
217,1143.576107449
218,1150.495751953
219,1150.394519043
220,1150.087516276
221,1149.498745117
222,1148.792199707
223,1147.931681315
224,1147.345117187
225,1146.87480957
226,1146.366585286
227,1145.812792969
228,1145.596724447
229,1145.755795898
230,1145.971325684
231,1146.056046549
232,1146.261360677
233,1146.59421875
234,1146.908150228
235,1147.096500651
236,1147.265250651
237,1147.614350586
238,1147.852103678
239,1147.954386393
240,1148.028222656
241,1147.745600586
242,1147.002001953
243,1146.059769694
244,1145.437276204
245,1145.070932617
246,1144.586421712
247,1144.070703125
248,1143.451118978
249,1149.838509115
250,1149.734324137
251,1149.430246989
252,1148.860640462
253,1148.14606052
254,1147.33053928
255,1146.811547173
256,1146.400948079
257,1145.936842177
258,1145.435638428
259,1145.273227268
260,1145.473136393
261,1145.724358453
262,1145.841267904
263,1146.091156006
264,1146.474149577
265,1146.832550049
266,1147.043379042
267,1147.241895888
268,1147.639839681
269,1147.883961995
270,1147.981547038
271,1148.068871392
272,1147.740523275
273,1147.007988824
274,1146.047817654
275,1145.391004774
276,1144.999715169
277,1144.494998508
278,1143.98079088
279,1143.377753364
280,1149.117932129
281,1149.051683214
282,1148.734096951
283,1148.160449219
284,1147.469753689
285,1146.721893311
286,1146.257941352
287,1145.903971354
288,1145.495815701
289,1145.059071859
290,1144.959428575
291,1145.189656576
292,1145.471947564
293,1145.657172309
294,1145.958584256
295,1146.385449219
296,1146.792521159
297,1147.024797228
298,1147.270626492
299,1147.680497233
300,1147.960232205
301,1148.058298747
302,1148.138309055
303,1147.789794922
304,1147.02859158
305,1146.052357992
306,1145.370229085
307,1144.963053385
308,1144.433200412
309,1143.884358724
310,1143.27504815
311,1148.446439616
312,1148.408118354
313,1148.102813721
314,1147.519047038
315,1146.855617947
316,1146.157294379
317,1145.756330702
318,1145.450472005
319,1145.094980876
320,1144.714307997
321,1144.656690809
322,1144.931937663
323,1145.269280328
324,1145.510755751
325,1145.876281738
326,1146.349251302
327,1146.783203125
328,1147.036051432
329,1147.310879178
330,1147.735441081
331,1148.045125326
332,1148.175184462
333,1148.227745904
334,1147.871443685
335,1147.079891629
336,1146.083930122
337,1145.383806017
338,1144.93001709
339,1144.375044081
340,1143.823076036
341,1143.195892334
342,1147.922290039
343,1147.873002116
344,1147.576249186
345,1147.027016602
