,Plot,Year,Date,Red,Green,Blue,BI,GLI,NGRDI,VARI,BGI,ExG,ExR,ExB,ExGR,MGRVI,RGBVI,GRRI,VEG,Range,Row,Mean.Yld.bu.ac
16378,1000,2022,7182022,67.147,91.435,56.263,73.1086041516318,0.194136084628445,0.153157357077096,0.237375267545617,0.615333296877563,59.46,0.011965835835137,-0.0589578533361261,59.4480341641649,0.299294119313653,0.377522890821553,1.36171385169851,1.44431358719338,5,8,234.613611449561
16379,1001,2022,7182022,66.059,89.982,55.903,72.0779606028546,0.192106675145565,0.153312270493011,0.238900317561765,0.621268698184081,58.002,0.0117983995772468,-0.0552872456875402,57.9902016004228,0.299582947963997,0.373536244187678,1.36214596042931,1.4400086735349,5,9,235.301674364683
16380,1002,2022,7182022,64.89,88.056,55.043,70.6972490860382,0.189765069499569,0.151465223019889,0.236621962554774,0.62509085127646,56.179,0.0134141709417325,-0.0528672189394632,56.1655858290583,0.296136565708187,0.369262474865959,1.35700416088766,1.43345010268726,5,10,235.322491216514
16381,1003,2022,7182022,62.851,85.574,51.05,68.0177922237998,0.200832137632477,0.153094155297288,0.233355584082157,0.596559702713441,57.247,0.0121188118811881,-0.0707056022057903,57.2348811881188,0.299176270893563,0.390674099370949,1.36153760481138,1.45916706016404,5,11,214.629596139076
16382,1004,2022,7182022,66.58,92.18,56.959,73.4265539638079,0.197535555490599,0.161249685059209,0.25147100716103,0.617910609676719,60.821,0.0047840014092406,-0.0576555611698553,60.8162159985908,0.314326423887898,0.382833218083838,1.38449984980475,1.45835794090719,5,12,239.331746111539
16383,1005,2022,7182022,67.664,93.002,57.604,74.2653120373166,0.195121951219512,0.157706048572816,0.245852011410607,0.61938452936496,60.736,0.0079149677005543,-0.0566106198744674,60.7280850322994,0.307757792233893,0.378705763964666,1.37446795932845,1.45015022397804,5,13,230.113301829788
16384,1006,2022,7182022,68.478,92.958,56.671,74.2563768058564,0.1953514538762,0.151639039619416,0.23366582350976,0.60964091310054,60.767,0.0133475771066495,-0.062439995048302,60.7536524228934,0.296461133836056,0.38017158371528,1.35748707614124,1.44578940349063,5,14,234.802339402909
16385,1007,2022,7182022,67.24,92.167,57.101,73.6579882293835,0.194356523851948,0.156373308574906,0.243651398744942,0.619538446515564,59.993,0.0090943521717441,-0.0564671975169509,59.9839056478283,0.305281682723009,0.377428159892936,1.37071683521713,1.44738949337116,5,15,229.932152159698
16386,1008,2022,7182022,65.444,89.795,55.705,71.7614246096048,0.194324646953006,0.156861355716025,0.244650069323045,0.620357480928782,58.441,0.0086591702063106,-0.0559769417475728,58.4323408297937,0.306188787831291,0.377290731509213,1.37208911435731,1.44771879523469,5,16,226.090604207204
16387,1009,2022,7182022,64.855,90.201,55.353,71.6620448936069,0.200239512990253,0.163463522856258,0.254215018605258,0.613662819702664,60.194,0.0028325784543437,-0.0603909528584804,60.1911674215456,0.318418792627263,0.387706601657662,1.39081026906175,1.46615219389109,5,17,220.581431214971
16388,1010,2022,7182022,65.275,92.569,56.096,72.9762669228839,0.208042830716227,0.172917564177289,0.268250972992098,0.605991206559431,63.767,-0.0055342619426007,-0.0656006356922502,63.7725342619426,0.335794704174777,0.401232874133267,1.41813864419763,1.49154060898781,5,18,214.069117864522
