,Plot,Year,Date,Red,Green,Blue,BI,GLI,NGRDI,VARI,BGI,ExG,ExR,ExB,ExGR,MGRVI,RGBVI,GRRI,VEG,Range,Row,Mean.Yld.bu.ac
7790,1000,2022,6232022,59.96,87.573,53.33,68.5767716480345,0.214453119582854,0.187164905478774,0.293122299714446,0.608977652929556,61.856,-0.0180670407192962,-0.0642776419748784,61.8740670407193,0.36166058677395,0.411474017902574,1.46052368245497,1.5186405323009,5,8,234.613611449561
7791,1001,2022,6232022,59.553,87.254,53.707,68.4209085343557,0.212838119596342,0.188689912606347,0.297540279269603,0.615524789694455,61.248,-0.0193492723700092,-0.0601663724228733,61.26734927237,0.364405571825369,0.408340813317053,1.46514869108189,1.51643684241504,5,9,235.301674364683
7792,1002,2022,6232022,64.061,90.055,57.559,71.9415346583599,0.193848805223213,0.168665161307067,0.269208861087233,0.63915385042474,58.49,-0.0017460729892524,-0.0447497342624307,58.4917460729893,0.327999416009941,0.374887229883895,1.40576950094441,1.45677377457584,5,10,235.322491216514
7793,1003,2022,6232022,59.564,86.351,52.391,67.6983066701081,0.213404202250428,0.183579481204811,0.286418459432873,0.606721404500237,60.747,-0.0149334866317711,-0.0655734067552167,60.7619334866318,0.355188600115407,0.40993017562834,1.44971795043986,1.51300604426353,5,11,214.629596139076
7794,1004,2022,6232022,61.77,88.861,54.474,69.9505227452471,0.209133028989747,0.179850097257537,0.281737159021184,0.613024836542465,61.478,-0.0116184393359499,-0.0614192730552644,61.4896184393359,0.348429862164516,0.402394413838824,1.43857859802493,1.50006994746171,5,12,239.331746111539
7795,1005,2022,6232022,63.982,91.586,56.024,72.1581141106113,0.208346252036757,0.177440090507045,0.277304508559029,0.611709213198524,63.166,-0.0095050852584218,-0.062159249877122,63.1755050852584,0.344047839694602,0.401207652091667,1.43143384076772,1.49616658711766,5,13,230.113301829788
7796,1006,2022,6232022,60.837,89.009,54.346,69.7070784688805,0.214306908912316,0.188006353189274,0.294994764397906,0.61056747070521,62.835,-0.0187921172230058,-0.0632963093559004,62.853792117223,0.363175754927781,0.411115529134651,1.46307345858606,1.51908893490773,5,14,234.802339402909
7797,1007,2022,6232022,60.861,87.711,54.038,69.0830087310428,0.20846924611034,0.180720458767466,0.28402479531174,0.616091482254221,60.523,-0.0123666156655644,-0.0595123636543113,60.5353666156656,0.350009643115891,0.401056481485976,1.44116922166905,1.49937766621752,5,15,229.932152159698
7798,1008,2022,6232022,64.022,90.67,55.92,71.7563279067893,0.203789141070492,0.172264887647713,0.269793058761592,0.616742031542958,61.398,-0.0049341917839439,-0.0587905722370995,61.4029341917839,0.33460044306601,0.39326125552104,1.4162319202774,1.48150168382209,5,16,226.090604207204
7799,1009,2022,6232022,63.469,89.886,53.558,70.6547151552299,0.211405698806263,0.172260441459359,0.264707355932543,0.595843624146141,62.745,-0.0049750378178267,-0.0720341399525404,62.7499750378178,0.334592304732597,0.407728532590874,1.41621894153051,1.49859721498538,5,17,220.581431214971
7800,1010,2022,6232022,62.712,89.007,53.113,69.9429094857608,0.211643110683061,0.173313823581753,0.266667342758047,0.596728347208646,62.189,-0.0059082565224183,-0.0715161693485393,62.1949082565224,0.336519385074724,0.408015252991655,1.41929774205894,1.50002812346501,5,18,214.069117864522
7801,1011,2022,6232022,63.891,91.158,56.219,72.0009648222392,0.20568998697202,0.175860534411702,0.275898006678134,0.616720419491432,62.206,-0.0080968248859269,-0.0589365166518356,62.2140968248859,0.341169737077914,0.396405982903259,1.42677372399869,1.48886540961187,5,19,230.348564188496
7802,1012,2022,6232022,62.93,88.686,54.318,70.1803311001974,0.204073043242142,0.169876530181511,0.264712532631709,0.612475475272309,60.124,-0.0028358600328261,-0.0613827731214856,60.1268358600328,0.330223460028439,0.394115226545073,1.40928015255045,1.48006464530222,5,20,235.350607760821
7803,1013,2022,6232022,63.12,89.975,56.149,71.2562166317204,0.202797950664898,0.175413958653124,0.277009881789862,0.624051125312587,60.681,-0.0076800290569861,-0.0543212708608132,60.688680029057,0.340355169381452,0.391024242407531,1.42545944233207,1.4821070674038,5,21,232.021915080285
7804,1014,2022,6232022,62.474,89.22,52.942,69.9191543617818,0.214472394642274,0.176315477210701,0.270840084251458,0.593387132929836,63.024,-0.0085830450165172,-0.0737954221153659,63.0325830450165,0.341999175603166,0.412924291516369,1.42811409546371,1.50905567365267,5,22,232.193814097679
7805,1026,2022,6232022,67.046,92.93,54.776,73.3293056287867,0.208130472370824,0.161799269890484,0.246045627376426,0.589432906488755,64.038,0.0043510654149903,-0.0756388764714648,64.033648934585,0.315343169761319,0.403255845690612,1.386063299824,1.48256811673673,4,3,196.225506839513
7806,1027,2022,6232022,58.274,84.959,49.363,65.9560371914505,0.22439156203275,0.186304831987042,0.284276126558006,0.581021433868101,62.281,-0.0175258053126753,-0.0823007746786019,62.2985258053127,0.360110414974756,0.430076221609639,1.45792291588015,1.5407598962002,4,4,202.725730113139
7807,1028,2022,6232022,55.807,84.697,48.366,64.8775076946292,0.238409603497498,0.205616921938165,0.313551412012416,0.571047380662833,65.221,-0.0347710065124159,-0.0899274633345688,65.2557710065124,0.39455281429408,0.45320944437642,1.51767699392549,1.59174979685064,4,5,234.949663099919
7808,1029,2022,6232022,62.543,90.932,51.987,70.4341386024325,0.227177338272705,0.184974751588207,0.279727652530348,0.571712928342058,67.334,-0.0164108204923539,-0.0883384762145798,67.3504108204924,0.357710212618953,0.435519377208621,1.45391170874438,1.54622464213101,4,6,244.46641604816
7809,1030,2022,6232022,57.895,86.873,49.811,66.7829441174916,0.234640364964541,0.200168545534925,0.305169708394326,0.57337722882829,66.04,-0.0299107303460292,-0.0880752804773383,66.069910730346,0.384914547965382,0.447055199764948,1.5005268157872,1.57758918981124,4,7,235.164143361301
7810,1031,2022,6232022,57.765,86.944,48.8,66.5269227731651,0.240050917622561,0.201639151676813,0.304236307332993,0.561280824438719,67.323,-0.0313835532197469,-0.0962435855696635,67.3543835532197,0.387522287527618,0.456758511563416,1.50513286592227,1.59208191581041,4,8,242.737986239615
7811,1032,2022,6232022,55.097,84.304,46.925,64.1477446992488,0.246040719801944,0.209517865725497,0.315833297287945,0.556616530650977,66.586,-0.0384712815173406,-0.0998733402745726,66.6244712815173,0.401414541843249,0.46651484883881,1.53010145742962,1.61412889233649,4,9,249.011249434066
7812,1033,2022,6232022,58.451,86.456,48.619,66.4704608529232,0.23516511775757,0.193261885209134,0.290846211365902,0.562355417784769,65.842,-0.0238965306987175,-0.0950228909810568,65.8658965306987,0.372606846473501,0.449069417050321,1.47911926228807,1.57267327021511,4,10,248.02758190412
7813,1034,2022,6232022,57.624,86.031,47.417,65.7526431053029,0.241863133924931,0.197744596428944,0.295174463309711,0.551161790517372,67.021,-0.0280386451180707,-0.102826159772233,67.0490386451181,0.380606370345107,0.460737961703514,1.49297167846731,1.59311253815273,4,11,246.16383078144
7814,1035,2022,6232022,58.739,86.518,48.43,66.5359535514446,0.235067182955336,0.191240353304832,0.286893118654921,0.559767909567951,65.867,-0.0221150619298147,-0.0966301300551922,65.8891150619298,0.368985834639428,0.449234490196503,1.47292258976149,1.57068590091675,4,12,245.763165043383
7815,1036,2022,6232022,55.926,84.056,46.685,64.2199808912045,0.241948412214699,0.20095440842394,0.301510230768406,0.555403540496812,65.501,-0.0308549449018841,-0.100162321138712,65.5318549449019,0.386308640839113,0.460351400334929,1.50298608876015,1.59615212522932,4,13,247.774428384599
7816,1037,2022,6232022,59.452,88.162,48.94,67.5825474216532,0.238595653212324,0.19449374720555,0.290958104465209,0.555114448401806,67.932,-0.0250780955869634,-0.0999521759923482,67.957078095587,0.374809277392843,0.455242757317148,1.48291058332773,1.58217420080888,4,14,242.489511396903
7817,1038,2022,6232022,59.739,88.604,48.834,67.833562226477,0.240166421140664,0.194582824939498,0.290074264639379,0.551148932328112,68.635,-0.0252027366274972,-0.10263063136167,68.6602027366275,0.374968417268851,0.458152988168911,1.48318518890507,1.58615181050142,4,15,244.089442415813
7818,1039,2022,6232022,64.36,93.699,52.858,72.3778980191237,0.23038842345773,0.185620559411359,0.278885181699794,0.564125550966392,70.18,-0.0170446194474604,-0.0933912392078401,70.1970446194475,0.358876047451446,0.441455212544199,1.45585767557489,1.5545052328553,4,16,245.010490966252
