,Plot,Year,Date,Red,Green,Blue,BI,GLI,NGRDI,VARI,BGI,ExG,ExR,ExB,ExGR,MGRVI,RGBVI,GRRI,VEG,Range,Row,Mean.Yld.bu.ac
9666,1,2020,6302020,56.705,82.952,53.255,65.6571558780915,0.202795580430937,0.187939022032551,0.303777690331242,0.641997781849744,55.944,-0.0184799286721407,-0.0435172513892345,55.9624799286721,0.36305456614135,0.389987323139437,1.46286923551715,1.49376888288785,67,1,178.076035458237
9667,10,2020,6302020,60.073,89.548,56.748,70.3513684704617,0.210447524136836,0.196997747642376,0.317368880083555,0.633715995890472,62.275,-0.0263886533345609,-0.0489453357820216,62.3013886533346,0.379276490542293,0.403384265594914,1.49065303880279,1.519187040937,67,10,218.098259438196
9668,100,2020,6302020,61.672,89.895,56.046,70.7712293826618,0.208639767670113,0.186208079595163,0.295463824708703,0.623460704154847,62.072,-0.0171193518710293,-0.0550572459335398,62.089119351871,0.359935938806498,0.400832942285339,1.45763069139966,1.50480927614297,63,20,219.528599319534
9669,1000,2020,6302020,47.922,72.94,44.051,56.4424553121732,0.226639983519232,0.206996409127766,0.325708557368085,0.603934740882918,53.907,-0.0354683984889003,-0.0683305743028142,53.9424683984889,0.396983080401705,0.431855899089135,1.52205667543091,1.56535082133829,18,20,234.371343553236
9670,1001,2020,6302020,59.248,85.908,54.932,68.0882627966573,0.201527294088029,0.183664471327399,0.295486788437666,0.639428225543605,57.636,-0.0147974891047939,-0.0449962016712647,57.6507974891048,0.355342309163754,0.387931605192299,1.44997299486903,1.48695693967799,17,1,158.580044068674
9671,1002,2020,6302020,59.699,86.436,53.34,68.0203604249002,0.20927141662965,0.182960960755466,0.288129748370063,0.617103984450923,59.833,-0.0143246020804613,-0.0589547562351172,59.8473246020805,0.354069545051444,0.402311169983796,1.44786344829897,1.50319728048836,17,2,142.901166958667
9672,1003,2020,6302020,60.288,87.259,54.837,68.9344437225204,0.205055879133968,0.182795990430168,0.290917916082408,0.628439473292153,59.393,-0.0141107992726699,-0.0518183255593328,59.4071107992727,0.353770946115002,0.39451120625603,1.4473692940552,1.49377332177311,17,3,181.399443244541
9673,1004,2020,6302020,53.353,78.983,49.728,62.0691304971051,0.210249495301612,0.193673679119816,0.310260507456905,0.629603838800755,54.885,-0.0235565515423148,-0.0514313647947975,54.9085565515423,0.373343434913839,0.403216054579389,1.48038535789927,1.51548117345262,17,4,176.493874268126
9674,1005,2020,6302020,52.87,78.298,49.368,61.5440577364433,0.210011049552995,0.193858258111735,0.310855745721271,0.630514189379039,54.358,-0.0237071830549033,-0.0508640935879825,54.3817071830549,0.373673483965423,0.402771581343404,1.4809532816342,1.51513976400082,17,5,169.080115086785
9675,1006,2020,6302020,56.714,82.863,51.758,65.2217886113733,0.208805315866637,0.187344619815586,0.297760165795557,0.624621362972617,57.254,-0.0181012360519508,-0.0543643348054459,57.2721012360519,0.361984311873409,0.401040797559171,1.46106781394365,1.506241931959,17,6,183.905407059644
9676,1007,2020,6302020,63.066,89.958,57.323,71.5441319489819,0.198221807828707,0.175737139272271,0.281000198535021,0.637219591364859,59.527,-0.0079183444498851,-0.0461418513218634,59.5349183444499,0.340944698585327,0.382428453122813,1.42641042717153,1.47249153867217,17,7,203.985217079849
9677,1008,2020,6302020,59.664,87.202,53.802,68.4559150207879,0.21168583040956,0.187504255579916,0.295903894094387,0.616981261897663,60.938,-0.018300875077242,-0.0591982777523073,60.9563008750772,0.362271814544447,0.406329968455311,1.46155135425047,1.51276136255055,17,8,208.382813902614
9678,1009,2020,6302020,59.06,86.882,54.834,68.4186453144658,0.20812909774802,0.190637376492031,0.30537384203363,0.631131880021178,59.87,-0.0209088735705463,-0.0503765390285692,59.8909088735706,0.367904155977718,0.399554527540889,1.47108025736539,1.50790318156186,17,9,205.008128924671
9679,101,2020,6302020,51.977,77.093,49.106,60.7078754199157,0.208027610089748,0.194592081816069,0.314091341103497,0.636970931212951,53.103,-0.0242748742816093,-0.0468334680316092,53.1272748742816,0.374984954000564,0.399136364750343,1.48321372914943,1.51154493100875,62,1,186.831495084571
9680,1010,2020,6302020,55.654,82.66,52.136,64.931260606891,0.210647724360148,0.19525138453085,0.313374643180394,0.630728284539076,57.53,-0.0249115253347335,-0.0507723812024153,57.5549115253347,0.376162295080969,0.403841860300106,1.4852481402954,1.51789753701311,17,10,203.701876452653
9681,1011,2020,6302020,49.806,75.744,47.9,59.1951607594179,0.215823815982728,0.206594982078853,0.334037347070187,0.632393324883819,53.782,-0.0346820409339868,-0.0500663015278179,53.816682040934,0.396276302456521,0.412594301737533,1.5207806288399,1.54067005031817,17,11,216.683791009618
9682,1012,2020,6302020,44.948,70.446,43.525,54.3978775474436,0.228539663854555,0.220964694871484,0.354784399393341,0.617849132668995,52.419,-0.0473121527318949,-0.0598480987169564,52.4663121527319,0.421356492003747,0.434495873442772,1.56727774316989,1.58415804246855,17,12,226.18914478042
9683,1013,2020,6302020,45.168,68.915,42.526,53.5346807375057,0.222308933860698,0.208155465757387,0.331861313358581,0.6170790103751,50.136,-0.0362673920400489,-0.0598854471965213,50.17226739204,0.399021834962342,0.424051576738221,1.52574831739284,1.5566809696848,17,13,230.343426786464
9684,1014,2020,6302020,49.999,75.339,47.82,59.055390163247,0.212714841627867,0.202173323333706,0.326891818674372,0.634731015808545,52.859,-0.0308411970570231,-0.0484586331558461,52.889841197057,0.388468370050207,0.407220342030387,1.50681013620272,1.52933512964635,17,14,224.602382371241
9685,1015,2020,6302020,54.575,81.389,50.911,63.7561235411941,0.213565741210151,0.197213968403401,0.315262248245212,0.625526791089705,57.292,-0.0266702341137123,-0.0541195986622074,57.3186702341137,0.379661624612264,0.409002435836419,1.49132386623912,1.52623923229594,17,15,219.211757054204
9686,1016,2020,6302020,57.518,83.912,53.289,66.3055090446236,0.204632650351181,0.186622357349926,0.299452014386041,0.6350581561636,57.017,-0.017393269275212,-0.0477991361911268,57.0343932692752,0.360682885687868,0.393432499186557,1.45888243680239,1.49645837970201,17,16,215.592959015929
9687,1017,2020,6302020,59.393,86.371,55.422,68.4569844841756,0.201445278675184,0.185079992316347,0.298620796528746,0.641673709925785,57.927,-0.0160090662372133,-0.0436422017436601,57.9430090662372,0.357900253341939,0.387687390802234,1.45422861279949,1.48812823617059,17,17,217.386638092656
9688,1018,2020,6302020,58.901,86.013,55.456,68.1736310362494,0.201370193063136,0.187090274231613,0.303069596905811,0.644739748642647,57.669,-0.0177252083645257,-0.0417956779957079,57.6867252083645,0.361526132153055,0.387431589720639,1.46029778781345,1.4899009999492,17,18,221.781267982014
9689,1019,2020,6302020,61.86,90.594,57.046,71.3866900572742,0.207541636953754,0.188476524066276,0.301169713231595,0.629688500342186,62.282,-0.0190453460620525,-0.0512152744630072,62.301045346062,0.364021757584014,0.398632592607678,1.46450048496605,1.50454794194281,17,19,225.260745606631
9690,102,2020,6302020,44.311,67.038,41.056,52.0997546411369,0.221966524336616,0.204106009034657,0.323318111333988,0.6124287717414,48.709,-0.0328243824021522,-0.0627249762146912,48.7418243824021,0.391886322714989,0.423684930465477,1.51289747466769,1.55182743353039,62,2,173.034280509143
9691,1020,2020,6302020,64.539,94.27,60.366,74.6015401471936,0.203018073346201,0.187212311644806,0.302012332009386,0.640352179908773,63.635,-0.0178642637162085,-0.0445196760579445,63.6528642637162,0.361745987275238,0.390436672769976,1.46066719347991,1.49354464612721,17,20,231.035654078559
9692,1021,2020,6302020,55.219,79.956,50.258,63.1610810045764,0.205114002464307,0.182999815054559,0.29130798308937,0.628570713892641,54.435,-0.0142876402797776,-0.0517426779483695,54.4492876402798,0.354139864169666,0.39460110320576,1.44797986200402,1.49408970267805,16,1,164.105305476477
9693,1022,2020,6302020,58.435,86.084,53.324,67.4995142130667,0.212762435414737,0.191317404631917,0.303185481660179,0.619441475767855,60.409,-0.0216080427409613,-0.0577751045020547,60.430608042741,0.369124003545477,0.407969445864275,1.4731582099769,1.51874985640222,16,2,153.780012875632
9694,1023,2020,6302020,58.098,85.802,54.089,67.4857533829672,0.209368866525013,0.192522585128562,0.30847000924163,0.630393230927018,59.417,-0.0225507477688155,-0.0508987873063656,59.4395507477688,0.371283565047915,0.401689009751203,1.47684946125512,1.51243466032467,16,3,189.112938447301
9695,1024,2020,6302020,52.045,78.189,49.011,61.1672021784006,0.214897799047523,0.200746348879709,0.321879270649939,0.626827303073322,55.322,-0.0297135206002957,-0.0534106948589919,55.3517135206003,0.385939677421655,0.411198062252623,1.5023345182054,1.53268568230097,16,4,159.613305729584
9696,1025,2020,6302020,51.759,76.053,47.349,59.735474359881,0.210967541617903,0.190076049197258,0.301927594049439,0.622578990966826,52.998,-0.0204977135321219,-0.0557452857656671,53.0184977135321,0.366896528753704,0.404785017070915,1.46936764620646,1.51359355519577,16,5,150.395956008803
9697,1026,2020,6302020,55.431,81.951,51.374,64.3631624404312,0.210918077478602,0.193038389308643,0.308343409915357,0.626886798208686,57.097,-0.0230329102121257,-0.0531236093157304,57.1200329102121,0.372206926788887,0.404473463696528,1.47843264599231,1.5163297348205,16,6,164.098422340756
9698,1027,2020,6302020,61.717,88.855,56.785,70.5425057181838,0.19988386696015,0.180232712589326,0.289357800121552,0.639074897304597,59.208,-0.0118211586780288,-0.0451202515468492,59.219821158678,0.349124523275775,0.385147721314784,1.43971677171606,1.48020567835682,16,7,200.74396482735
9699,1028,2020,6302020,58.274,85.909,53.763,67.4948776476161,0.210604005566222,0.191666146494386,0.305629285556293,0.625813360649059,59.781,-0.0218514140220061,-0.0537560748891112,59.802851414022,0.369749218347957,0.403998222870219,1.47422521192985,1.51431403927621,16,8,200.915562139761
9700,1029,2020,6302020,56.655,84.869,52.508,66.2561349360696,0.217191763385574,0.199358412707385,0.316954255414757,0.61869469417573,60.575,-0.0286138368928837,-0.0585357054506473,60.6036138368929,0.383476039331192,0.41541340267713,1.49799664636837,1.53639927163185,16,9,199.348347752787
9701,103,2020,6302020,43.637,65.806,40.67,51.2791910525117,0.21908678717482,0.202562064270899,0.322350340976837,0.618028751177704,47.305,-0.031404342062313,-0.059075496459334,47.3364043420623,0.389156496604622,0.418616142459087,1.50803217453079,1.54381048083094,62,3,170.891814714315
9702,1030,2020,6302020,55.433,83.931,52.135,65.4097048737163,0.218908615619214,0.204486093969748,0.326703275286888,0.621165004587101,60.294,-0.0330278487093927,-0.0571386795753503,60.3270278487094,0.392557565050968,0.418184107491438,1.5140981004095,1.54534269413117,16,10,201.393795893199
