,Unnamed: 0,Plot,Year,Date,Red,Green,Blue,BI,GLI,NGRDI,VARI,BGI,ExG,ExR,ExB,ExGR,MGRVI,RGBVI,GRRI,VEG,Range,Row,Mean.Yld.bu.ac
4054,4055,Plot1018,2020,6182020,30.789,41.994,26.829,33.81939186,0.186220923,0.153950785,0.243830787,0.638876982,26.37,0.011149259,-0.044506686,26.35885074,0.300772996,0.362017997,1.363928676,1.427914146,17,18,221.781268
4055,4056,Plot1019,2020,6182020,29.895,40.897,25.665,32.78702924,0.19099553,0.155413041,0.243800829,0.627552143,26.234,0.009911152,-0.051484081,26.22408885,0.303495686,0.371055862,1.368021408,1.439317385,17,19,225.2607456
4056,4057,Plot102,2020,6182020,30.766,39.947,25.555,32.63621501,0.173057299,0.129834684,0.203308384,0.639722632,23.573,0.032465617,-0.043316575,23.54053438,0.255364674,0.339858009,1.298413833,1.381183301,62,2,173.0342805
4057,4058,Plot1020,2020,6182020,29.945,41.59,26.325,33.26377785,0.192972392,0.162787447,0.257575758,0.632964655,26.91,0.00340282,-0.048385449,26.90659718,0.317169968,0.373873977,1.388879613,1.449766066,17,20,231.0356541
4058,4059,Plot1021,2020,6182020,37.988,47.356,31.143,39.39359224,0.156131174,0.109767529,0.17283814,0.65763578,25.581,0.050024466,-0.032242224,25.53097553,0.216921392,0.309293167,1.246604191,1.331869934,16,1,164.1053055
4059,4060,Plot1022,2020,6182020,36.469,46.182,30.316,38.21790567,0.160723599,0.117518239,0.185592816,0.656446234,25.579,0.043150655,-0.033103473,25.53584935,0.231834717,0.31719121,1.266335792,1.346705964,16,2,153.7800129
4060,4061,Plot1023,2020,6182020,34.783,44.73,28.692,36.6690644,0.169908785,0.12509904,0.195726176,0.641448692,25.985,0.036654498,-0.04215332,25.9483455,0.246342872,0.334397155,1.285973033,1.371111366,16,3,189.1129384
4061,4062,Plot1024,2020,6182020,34.43,44.357,28.274,36.29686591,0.171776143,0.125997944,0.196523667,0.637419122,26.01,0.035914105,-0.044585797,25.97408589,0.24805785,0.338001969,1.288324136,1.375666673,16,4,159.6133057
4062,4063,Plot1025,2020,6182020,40.946,50.738,32.392,42.03237333,0.160959649,0.106801623,0.165148755,0.638416966,28.138,0.053083594,-0.043434669,28.08491641,0.211194241,0.319950834,1.239144239,1.339715279,16,5,150.395956
4063,4064,Plot1026,2020,6182020,38.175,48.276,30.899,39.76032781,0.165903904,0.116840754,0.181829637,0.640048886,27.478,0.04404772,-0.042755859,27.43395228,0.230534308,0.327907821,1.26459725,1.356854133,16,6,164.0984223
4064,4065,Plot1027,2020,6182020,40.106,49.728,32.241,41.31524053,0.157791191,0.107108667,0.167068915,0.648347008,27.109,0.052593897,-0.037604751,27.0564061,0.21178765,0.313286747,1.239914227,1.333399614,16,7,200.7439648
4065,4066,Plot1028,2020,6182020,39.515,49.027,31.699,40.70179584,0.158565116,0.107429243,0.167338107,0.646562098,26.84,0.052344874,-0.038659026,26.78765513,0.212407086,0.314821521,1.240718714,1.335201779,16,8,200.9155621
4066,4067,Plot1029,2020,6182020,34.817,45.419,28.692,36.96097002,0.177062074,0.132135201,0.205688344,0.631718003,27.329,0.030522914,-0.04819881,27.29847709,0.259735496,0.347474398,1.304506419,1.391324349,16,9,199.3483478
4067,4068,Plot103,2020,6182020,29.695,39.379,25.393,32.02760848,0.176845031,0.140197469,0.221698221,0.64483608,23.67,0.023225042,-0.040530556,23.64677496,0.274989921,0.345660153,1.326115508,1.397060251,62,3,170.8918147
4068,4069,Plot1030,2020,6182020,35.839,46.214,28.837,37.64633796,0.176647316,0.126442665,0.194960162,0.623988402,27.752,0.035716476,-0.052684642,27.71628352,0.248905886,0.34779646,1.289489104,1.386292297,16,10,201.3937959
4069,4070,Plot1031,2020,6182020,35.097,45.714,28.967,37.24091072,0.17598333,0.131380629,0.204787439,0.633657085,27.364,0.03117018,-0.047005775,27.33282982,0.258302728,0.3454502,1.302504488,1.388482035,16,11,209.5923099
4070,4071,Plot1032,2020,6182020,34.429,45.311,29.294,36.95303866,0.174278402,0.136468523,0.215715815,0.646509678,26.899,0.026501825,-0.039431737,26.87249817,0.267946894,0.341163636,1.316070754,1.388793793,16,12,210.577367
4071,4072,Plot1033,2020,6182020,33.729,44.566,28.627,36.2550177,0.176753274,0.138412415,0.218188773,0.642350671,26.776,0.024827444,-0.041976394,26.75117256,0.271621113,0.345757452,1.321296214,1.395465135,16,13,215.0017589
4072,4073,Plot1034,2020,6182020,31.949,42.631,27.99,34.74469198,0.174399625,0.143228748,0.229276669,0.656564472,25.323,0.020450424,-0.033586819,25.30254958,0.280699101,0.340437763,1.334345363,1.394442325,16,14,207.7091742
4073,4074,Plot1035,2020,6182020,32.531,43.152,27.837,35.09634185,0.176829933,0.140335346,0.221983029,0.645091769,25.936,0.02310085,-0.040380603,25.91289915,0.275249918,0.345609456,1.32648858,1.397137936,16,15,207.1993196
4074,4075,Plot1036,2020,6182020,31.803,42.434,27.379,34.45617896,0.178313086,0.143203524,0.226876947,0.645213744,25.686,0.020569595,-0.040381436,25.6654304,0.280651654,0.348101159,1.334276641,1.402515604,16,16,201.840784
4075,4076,Plot1037,2020,6182020,34.034,44.187,27.858,35.99477874,0.176234145,0.129798903,0.20159641,0.630456922,26.482,0.032622857,-0.048886207,26.44937714,0.255296631,0.346262251,1.298319328,1.387842624,16,17,206.2868558
4076,4077,Plot1038,2020,6182020,32.645,43.562,27.757,35.27886486,0.181134173,0.143254557,0.225325077,0.637183784,26.722,0.020593667,-0.045229118,26.70140633,0.280747647,0.353637699,1.334415684,1.408474663,16,18,203.2049588
4077,4078,Plot1039,2020,6182020,32.066,43.239,27.239,34.83199008,0.186393475,0.148369962,0.232451213,0.62996369,27.173,0.01612381,-0.049777656,27.15687619,0.2903483,0.363158835,1.348437597,1.423721723,16,19,206.5270421
4078,4079,Plot104,2020,6182020,26.827,37.48,25.041,30.28470467,0.182073359,0.165658482,0.271303418,0.668116329,23.092,0.000870753,-0.027114205,23.09112925,0.322467573,0.352981729,1.397099937,1.429522449,62,4,161.2893989
4079,4080,Plot1040,2020,6182020,31.738,43.056,26.905,34.56876627,0.189762012,0.151322299,0.236338199,0.624883872,27.469,0.013541923,-0.052989705,27.45545808,0.295869644,0.369279151,1.356607222,1.433328475,16,20,216.0317813
4080,4081,Plot1041,2020,6182020,36.395,46.383,30.834,38.41316732,0.159611238,0.120660079,0.192283998,0.66476942,25.537,0.040224624,-0.028301588,25.49677538,0.237857229,0.314388937,1.274433301,1.346781243,15,1,167.0295148
4081,4082,Plot1042,2020,6182020,36.336,46.325,30.674,38.32842634,0.160591256,0.120842961,0.19214419,0.662147868,25.64,0.040105881,-0.029835444,25.59989412,0.238207375,0.316335253,1.274906429,1.348888411,15,2,153.4245971
4082,4083,Plot1043,2020,6182020,35.478,45.621,29.472,37.45469667,0.168331285,0.12506936,0.196466965,0.646018281,26.292,0.03661177,-0.039433486,26.25538823,0.246286225,0.331214164,1.285895485,1.367819093,15,3,168.839284
4083,4084,Plot1044,2020,6182020,35.105,45.118,29.065,37.02597815,0.168814683,0.124814579,0.195726964,0.644199654,26.066,0.036865896,-0.04050765,26.0291341,0.245799921,0.332238266,1.285230024,1.368631127,15,4,156.5179857
4084,4085,Plot1045,2020,6182020,38.275,48.044,30.733,39.65567992,0.164025779,0.11317323,0.175745691,0.639684456,27.08,0.047337935,-0.042868127,27.03266206,0.223484035,0.324841477,1.255231875,1.350399505,15,5,154.2156846
4085,4086,Plot1046,2020,6182020,37.861,47.507,30.372,39.2123652,0.164052019,0.112993159,0.175394574,0.639316311,26.781,0.04750648,-0.043081044,26.73349352,0.223137421,0.324935782,1.254774042,1.350329791,15,6,154.0658697
4086,4087,Plot1047,2020,6182020,38.652,48.858,30.929,40.15671098,0.168173966,0.116626671,0.180378572,0.633038602,28.135,0.044367143,-0.046922044,28.09063286,0.230123256,0.332620391,1.264048432,1.361445131,15,7,178.4110618
4087,4088,Plot1048,2020,6182020,36.376,46.519,29.069,38.00104164,0.174107002,0.122359612,0.188440531,0.624884456,27.593,0.039364439,-0.052002429,27.55363556,0.241109364,0.343512964,1.278837695,1.377985298,15,8,187.7551707
4088,4089,Plot1049,2020,6182020,32.684,43.311,27.327,35.07540214,0.181480294,0.139838147,0.218357031,0.630948258,26.611,0.023679371,-0.0489073,26.58732063,0.2743122,0.354888994,1.325143801,1.40653813,15,9,187.5215578
4089,4090,Plot105,2020,6182020,24.892,36.076,22.81,28.52709554,0.203998198,0.183440493,0.293097122,0.632276306,24.45,-0.014648237,-0.049440187,24.46464824,0.354937203,0.392502685,1.44930098,1.492075423,62,5,209.426925
4090,4091,Plot1050,2020,6182020,34.298,45.093,28.827,36.70026059,0.176510492,0.135972591,0.213491812,0.639278824,27.061,0.027021383,-0.043756122,27.03397862,0.267008582,0.345678391,1.314741384,1.393065787,15,10,179.9770139
4091,4092,Plot1051,2020,6182020,34.178,44.184,28.639,36.24248824,0.169004862,0.127689441,0.201234841,0.64817581,25.551,0.034253885,-0.038218334,25.51674611,0.251281834,0.332100185,1.292761425,1.3711629,15,11,190.7705266
4092,4093,Plot1052,2020,6182020,34.677,45.18,29.13,36.93365055,0.172235303,0.131522597,0.2070495,0.644754316,26.553,0.030900933,-0.040353437,26.52209907,0.258572359,0.33791059,1.302880872,1.380743961,15,12,191.3703474
4093,4094,Plot1053,2020,6182020,35.187,45.573,28.87,37.18646796,0.174539152,0.128603269,0.200154172,0.633489127,27.089,0.033647724,-0.047021801,27.05535228,0.25302186,0.343076764,1.295165828,1.383381249,15,13,190.6665724
