,Unnamed: 0,Plot,Year,Date,Red,Green,Blue,BI,GLI,NGRDI,VARI,BGI,ExG,ExR,ExB,ExGR,MGRVI,RGBVI,GRRI,VEG,Range,Row,Mean.Yld.bu.ac
0,1,Plot10,2021,6082021,87.954,108.56,80.241,93.02293229,0.126974034,0.104857669,0.177220851,0.739139646,48.925,0.052666076,0.013648895,48.87233392,0.207434568,0.250905336,1.234281556,1.272586682,35,10,217.2334685
1,2,Plot100,2021,6082021,102.09,120.5,89.783,104.8866137,0.113490562,0.082708118,0.138622211,0.745087137,49.127,0.071792376,0.0166346,49.05520762,0.164292372,0.226051639,1.18033108,1.23191746,32,4,221.0705254
2,3,Plot1000,2021,6082021,86.488,108.86,81.354,93.0038477,0.129364408,0.114523824,0.196255943,0.747326842,49.878,0.044174599,0.01819864,49.8338254,0.226082418,0.2549079,1.258671723,1.284584264,4,8,200.0806134
3,4,Plot1001,2021,6082021,89.941,112.4,85.599,96.69597076,0.123045411,0.110995794,0.192381491,0.76155694,49.26,0.046945197,0.025833854,49.2130548,0.219289922,0.242708536,1.249708142,1.270470084,4,9,204.6682821
4,5,Plot1002,2021,6082021,87.312,110.29,82.425,94.12960935,0.130260788,0.116284248,0.199501637,0.747347901,50.843,0.042663029,0.018230385,50.80033697,0.229465656,0.256562231,1.263171156,1.287633268,4,10,223.711903
5,6,Plot1003,2021,6082021,88.361,110.82,84.071,95.1431759,0.124870582,0.112756739,0.195109026,0.758626602,49.208,0.045490941,0.024287207,49.16250906,0.222682277,0.246197666,1.254173221,1.275131933,4,11,218.1897915
6,7,Plot1004,2021,6082021,86.67,109.22,81.848,93.34486668,0.129011417,0.115115626,0.197734168,0.749386559,49.922,0.043631048,0.019324687,49.87836895,0.227220219,0.254181756,1.260182301,1.284434603,4,12,245.0237422
7,8,Plot1005,2021,6082021,85.65,108.07,80.147,92.0843617,0.131809696,0.115734049,0.197406074,0.741621171,50.343,0.043232664,0.015101491,50.29976734,0.228408708,0.259631591,1.261762989,1.289975721,4,13,195.9418745
8,9,Plot1006,2021,6082021,87.748,110.97,83.54,94.85600316,0.128810766,0.116859067,0.201618365,0.752816076,50.652,0.042079232,0.021207548,50.60992077,0.230569467,0.253699236,1.264644208,1.285510112,4,14,200.05412
9,10,Plot1007,2021,6082021,89.297,110.67,82.52,94.92339632,0.125962402,0.106882636,0.181979957,0.745640192,49.523,0.05078393,0.017197252,49.47221607,0.211350821,0.248720531,1.239347346,1.27235265,4,15,211.9593932
10,11,Plot1008,2021,6082021,86.999,110.39,82.79,94.17884087,0.130555676,0.118502044,0.204111729,0.749977353,50.991,0.040718969,0.019687414,50.95028103,0.233721992,0.257022429,1.268865159,1.289992207,4,16,230.9508736
11,12,Plot1009,2021,6082021,98.97,120.8,94.907,105.5067763,0.109587877,0.099331119,0.174831615,0.785653974,47.723,0.056432469,0.038356156,47.66656753,0.196721254,0.216784124,1.22057189,1.237729486,4,17,208.2493594
12,13,Plot101,2021,6082021,91.539,113.63,84.034,97.21604562,0.128308753,0.107672212,0.182366781,0.739540614,51.687,0.050222854,0.013891972,51.63677715,0.212876481,0.253317158,1.241328833,1.277197819,32,5,221.3407396
13,14,Plot1010,2021,6082021,94.165,117.82,90.722,101.6187006,0.12068904,0.111588084,0.195071869,0.770005093,50.753,0.046285682,0.030362033,50.70671432,0.220431379,0.238076281,1.251207986,1.266824383,4,18,208.5005895
14,15,Plot1011,2021,6082021,96.172,118.81,92.533,103.1620501,0.11473641,0.105301839,0.184876969,0.778831748,48.915,0.051479765,0.034912768,48.86352023,0.208294015,0.226667614,1.235390758,1.251361433,4,19,212.5416879
