Extract_GALa_Ele,Plot
1144.330227322,1019
1145.30485026,1020
1146.075005425,1021
1146.065606011,1022
1144.541937934,1023
1144.117743598,1024
1149.582085503,1025
1149.474283854,1026
1149.227552626,1027
1148.934977214,1028
1148.661987305,1029
1148.254760742,1030
1147.949869792,1031
1147.84379069,1032
1147.786024306,1033
1147.699978299,1034
1147.522176107,1035
1147.474894206,1036
1147.315409342,1037
1147.178670247,1038
1146.996527778,1039
1146.803805881,1040
1146.637112088,1041
1146.39179145,1042
1146.216986762,1043
1146.069396973,1044
1145.985894097,1045
1145.722262912,1046
1145.572102865,1047
1145.344414605,1048
1145.176554362,1049
1144.858846029,1050
1144.731133355,1051
1144.924275716,1052
1145.484931098,1053
1145.152248806,1054
1144.429782444,1055
1144.266357422,1056
1149.888142904,1057
1149.847913954,1058
1149.688842773,1059
1149.387179905,1060
1149.074707031,1061
1148.576687283,1062
1148.366861979,1063
1148.153171115,1064
1148.127265082,1065
1148.015611437,1066
1147.833984375,1067
1147.646972656,1068
1147.504048665,1069
1147.331787109,1070
1147.153266059,1071
1146.994954427,1072
1146.834147135,1073
1146.70050727,1074
1146.547471788,1075
1146.402282715,1076
1146.238023546,1077
1145.995469835,1078
1145.709540473,1079
1145.469509549,1080
1145.250908746,1081
1145.093282064,1082
1144.946465386,1083
1144.79300944,1084
1144.662312826,1085
1144.54570855,1086
1144.460381402,1087
1144.335883247,1088
1150.428507487,1089
1150.236002604,1090
1150.069525825,1091
1149.620035807,1092
1149.19535319,1093
1148.715291341,1094
1148.429484049,1095
1148.29429796,1096
1148.26683214,1097
1148.076700846,1098
1147.877387153,1099
1147.670328776,1100
1147.488952637,1101
1147.335069444,1102
1147.096896701,1103
1146.937757704,1104
1146.80452474,1105
1146.654744466,1106
1146.466430664,1107
1146.307128906,1108
1146.143853082,1109
1145.900282118,1110
1145.62645128,1111
1145.38784451,1112
1145.174221463,1113
1145.015340169,1114
1144.87354872,1115
1144.697089301,1116
1144.547444661,1117
1144.435072157,1118
1144.376478407,1119
1144.191392687,1120
