Extract_GALa_Yld_Mass_D,Plot
13365.921440972,240
13268.555881076,241
13276.747287326,242
13238.393337674,243
12784.537434896,244
12504.634548611,245
12388.309895833,246
11642.39312066,247
11048.516384549,248
9487.629448785,249
10713.930664062,250
11795.079969618,251
11337.837022569,252
10501.158854167,253
10398.89203559,254
8580.148763021,255
6665.467447917,256
12963.831271701,257
12425.061848958,258
12213.321614583,259
12659.319769965,260
11950.992404514,261
12038.23296441,262
12292.014973958,263
12058.968207465,264
12435.505750868,265
12949.293294271,266
13258.242947049,267
12882.855034722,268
13467.383300781,269
14027.155707465,270
13454.838541667,271
13155.690321181,272
13178.306532118,273
12950.418945312,274
12994.719075521,275
12992.492513021,276
12321.738498264,277
12414.359157986,278
11463.518988715,279
11669.948893229,280
9614.109700521,281
10473.970540365,282
11021.269748264,283
10978.094075521,284
10251.060763889,285
10061.553385417,286
8416.160970052,287
6419.666503906,288
12891.41015625,289
12324.134114583,290
12271.065104167,291
12889.291232639,292
12366.139105903,293
12893.635091146,294
12918.606933594,295
12780.050998264,296
13001.850911458,297
13514.868706597,298
13416.853190104,299
12998.052951389,300
13554.350097656,301
13776.363932292,302
12985.831271701,303
12721.304470486,304
12747.267144097,305
12460.873046875,306
12736.148111979,307
12879.447591146,308
11881.971028646,309
12285.083767361,310
11008.776367188,311
11011.076931424,312
9403.619032118,313
10076.03515625,314
10029.212022569,315
9893.818684896,316
9514.863389757002,317
9398.628797743,318
8051.974500868,319
6248.246799045,320
12896.213053385,321
12616.545572917,322
12599.817708333,323
13427.444498698,324
13067.282389323,325
13574.673014323,326
13320.449462891,327
13064.734863281,328
13456.515299479,329
13935.071126302,330
13469.611002604,331
13396.98811849,332
13666.187011719,333
13515.390625,334
12928.288736979,335
12563.297688802,336
12445.527669271,337
12611.783203125,338
12804.575195312,339
12298.111083984,340
11395.222005208,341
11488.326334635,342
10592.02360026,343
10356.061848958,344
9189.567871094,345
9759.031494141,346
9697.97672526,347
9360.895507812,348
9076.226888021,349
8676.804199219,350
7564.10530599,351
6228.197021484,352
12802.876193576,353
13023.618055556,354
12954.609375,355
13889.701280382,356
13732.421332465,357
14079.160264757,358
13606.90999349,359
13289.299696181,360
13839.043185764,361
13995.17328559,362
13383.782552083,363
13594.101019965,364
13617.131673177,365
13177.285264757,366
12868.956054688,367
12726.103841146,368
12305.485243056,369
12566.343207465,370
12695.53266059,371
11468.289388021,372
11190.19390191,373
10494.474283854,374
10330.768771701,375
9831.824978299,376
9155.995334201,377
9734.257486979,378
10149.439778646,379
9424.5859375,380
9078.101888021,381
8430.692599826,382
7334.727484809,383
6522.396050347,384
12964.080295139,385
13203.773220486,386
13371.696614583,387
13923.591471354,388
14188.274739583,389
14276.14312066,390
13626.571126302,391
13488.958658854,392
14142.257921007,393
13759.272677951,394
13222.948242188,395
13908.851345486,396
13794.423990885,397
13001.462239583,398
12661.006184896,399
12796.068359375,400
11940.892144097,401
11308.481011285,402
11609.366753472,403
11112.400878906,404
11777.701822917,405
10642.440863715,406
10435.706271701,407
9149.26030816,408
9040.627712674,409
9783.638834635,410
10661.961914062,411
9818.172960069,412
9565.707139757002,413
8811.111599392,414
7646.807617188,415
7394.19281684,416
13314.01421441,417
13492.019205729,418
13653.509982639,419
13658.786132812,420
14132.518337674,421
13874.415690104,422
13731.561197917,423
13844.12890625,424
14345.284505208,425
13512.621202257,426
13296.315646701,427
13847.901584201,428
13816.19921875,429
13016.85015191,430
12364.449652778,431
12471.962782118,432
11397.636501736,433
9782.507921007002,434
10002.594835069,435
11098.727539062,436
12688.681532118,437
12118.722873264,438
11128.513020833,439
9230.978949653,440
8907.513997396,441
9820.040364583,442
10741.870768229,443
10477.319769965,444
10374.896809896,445
9587.86469184,446
8452.079806858,447
8243.171278212,448
13478.839301215,449
13514.447265625,450
13676.771267361,451
13544.595594618,452
13759.006727431,453
13378.591362847,454
13705.283691406,455
14067.685221354,456
14125.671657986,457
13682.198242188,458
13432.959092882,459
13705.109592014,460
13903.87109375,461
13302.983615451,462
12393.662000868,463
12214.324761285,464
11233.860460069,465
9360.271701389,466
9100.578559028,467
10654.81656901,468
12739.883029514,469
12794.683268229,470
12011.830078125,471
9816.469509549,472
8964.618815104,473
9610.826660156,474
10550.186523438,475
10990.720052083,476
10771.871527778,477
10081.653862847,478
8833.401909722,479
9113.999674479,480
13886.156358507,481
13323.625868056,482
13776.570638021,483
13722.689561632,484
13351.298502604,485
13066.132921007,486
13499.291992188,487
13779.704861111,488
13978.04546441,489
14276.990993924,490
13732.250217014,491
13555.951280382,492
13740.298014323,493
13461.502929688,494
12766.030598958,495
12540.274631076,496
11978.047851562,497
9972.162543403,498
9104.053602431,499
9842.492513021,500
11472.739800347,501
12446.841471354,502
12414.411458333,503
10505.137478299,504
9080.280815972,505
8909.387207031,506
10322.29155816,507
11188.854166667,508
10800.421766493,509
9972.753038194,510
8609.640950521,511
9931.712673611,512
14308.85172526,513
13051.81266276,514
13620.533203125,515
13832.489420573,516
13257.915364583,517
13294.573079427,518
13550.222167969,519
13523.67578125,520
13850.977539062,521
14568.278808594,522
13801.306966146,523
13252.3359375,524
13361.271484375,525
13383.91780599,526
13138.076497396,527
13061.170247396,528
12722.107584635,529
11134.177083333,530
9607.5078125,531
9589.230957031,532
10502.223795573,533
11947.850097656,534
12489.102539062,535
10992.657063802,536
9510.856282552,537
8221.116333008,538
10139.560058594,539
11253.555338542,540
10794.217285156,541
9657.894856771,542
8287.997314453,543
10317.452636719,544
14120.103732639,545
12506.418077257,546
13509.107747396,547
13815.47265625,548
13332.328667535,549
13848.044270833,550
13714.794759115,551
13464.791666667,552
13593.868489583,553
14205.275173611,554
13727.187934028,555
13011.899956597,556
13209.633951823,557
13574.638020833,558
13558.292209201,559
13423.344075521,560
