Extract_GALa_Crop_Flw_V,Plot
1268.670003255,311
1261.974731445,312
1063.975735135,313
1048.917195638,314
1174.863484701,315
1161.376681858,316
1119.577636719,317
1080.64586046,318
818.445102268,319
701.907958984,320
1565.046346029,321
1524.723409017,322
1535.477539062,323
1645.034444173,324
1597.175191243,325
1660.95316569,326
1621.26071167,327
1595.418843587,328
1641.023925781,329
1702.536946615,330
1662.767822266,331
1593.233968099,332
1547.329711914,333
1568.13079834,334
1583.452758789,335
1512.366841634,336
1476.881083171,337
1412.876912435,338
1428.327067057,339
1483.051971436,340
1364.51365153,341
1326.754109701,342
1214.053812663,343
1187.933959961,344
1049.248087565,345
1051.838470459,346
1145.021748861,347
1107.875752767,348
1071.319478353,349
1006.384094238,350
775.470255534,351
715.481658936,352
1549.395806207,353
1578.62125651,354
1576.85152181,355
1703.84781901,356
1673.366984049,357
1722.565307617,358
1650.063456217,359
1617.06769477,360
1686.047960069,361
1711.775689019,362
1651.446777344,363
1616.759277344,364
1555.060852051,365
1538.573540582,366
1578.791395399,367
1528.515272352,368
1445.418348524,369
1374.197401259,370
1350.114637587,371
1391.455525716,372
1338.775119358,373
1211.955878364,374
1171.779988607,375
1130.110229492,376
1052.91398112,377
1088.932657878,378
1205.248467339,379
1112.853759766,380
1068.376668294,381
980.60542806,382
751.682474772,383
754.771043566,384
1569.242241753,385
1602.19253201,386
1626.042602539,387
1704.30726454,388
1716.059977214,389
1738.732516819,390
1659.197265625,391
1643.186618381,392
1731.439453125,393
1697.968112522,394
1633.006334093,395
1633.684502496,396
1573.105285645,397
1520.704847548,398
1556.387478299,399
1535.44019911,400
1368.010755751,401
1204.882595486,402
1226.058946398,403
1336.700480143,404
1407.763563368,405
1229.688300239,406
1195.93488227,407
1069.827338325,408
1050.666965061,409
1130.552266439,410
1291.883707682,411
1170.317369249,412
1116.676445855,413
1017.379191081,414
781.278815375,415
848.252794054,416
1613.677693685,417
1639.983506944,418
1662.657755534,419
1667.018391927,420
1719.661146376,421
1697.77081977,422
1665.445515951,423
1688.616875543,424
1751.625067817,425
1666.569905599,426
1634.101236979,427
1624.928019206,428
1573.757548014,429
1524.164401584,430
1522.72801378,431
1494.526570638,432
1277.632717556,433
1039.250908746,434
1085.411668566,435
1331.043375651,436
1514.800089518,437
1412.033175998,438
1316.31374783,439
1083.161064996,440
1043.959818522,441
1153.904866536,442
1313.483818902,443
1239.495035807,444
1199.5703125,445
1096.049682617,446
854.837463379,447
938.839253743,448
1635.644965278,449
1650.040907118,450
1662.550442166,451
1654.031656901,452
1680.237413194,453
1646.864542643,454
1659.354736328,455
1715.058566623,456
1720.346476237,457
1680.707722982,458
1644.123182509,459
1593.184990777,460
1571.739481608,461
1555.882717556,462
1516.254055447,463
1450.965169271,464
1265.499403212,465
1018.704121908,466
1013.30190701,467
1278.129679362,468
1508.815972222,469
1505.39956326,470
1452.655626085,471
1146.291748047,472
1046.234117296,473
1142.209411621,474
1287.651462131,475
1290.361558702,476
1245.604695638,477
1142.251193576,478
889.666280111,479
1022.010776096,480
1686.328870985,481
1633.656480577,482
1662.317097982,483
1678.276611328,484
1624.586073134,485
1609.732842339,486
1628.726623535,487
1684.026000977,488
1702.604953342,489
1752.104912652,490
1683.703219944,491
1569.513332791,492
1552.497273763,493
1574.678087023,494
1552.47124566,495
1482.804022895,496
1368.05094401,497
1126.876539442,498
1030.924940321,499
1165.983886719,500
1318.816338433,501
1459.501424154,502
1520.677408854,503
1218.127346463,504
1059.878078885,505
1074.489400228,506
1271.993503147,507
1322.172444661,508
1254.247667101,509
1126.809271918,510
892.646789551,511
1120.182902018,512
1739.039265951,513
1609.722676595,514
1646.15049235,515
1695.057881673,516
1604.883199056,517
1640.71291097,518
1623.653564453,519
1651.767069499,520
1689.122497559,521
1780.651428223,522
1687.443603516,523
1531.033630371,524
1518.523712158,525
1575.664794922,526
1593.917012533,527
1550.936665853,528
1464.695861816,529
1249.484761556,530
1087.782124837,531
1125.824249268,532
1168.371459961,533
1389.50958252,534
1529.621683757,535
1279.444437663,536
1099.547302246,537
998.933151245,538
1253.448079427,539
1325.819193522,540
1251.010620117,541
1091.836812337,542
911.551757812,543
1181.655090332,544
1726.623223199,545
1544.34262424,546
1634.599514431,547
1696.5078125,548
1614.28793674,549
1708.960462782,550
1650.325276693,551
1640.5128852,552
1650.719401042,553
1741.185899523,554
1679.7265625,555
1506.929050022,556
1512.425435384,557
1604.105563694,558
1637.689860026,559
1594.154866536,560
1522.595567491,561
1345.960164388,562
1139.641520182,563
1139.536153158,564
1128.904324002,565
1363.323310004,566
1506.852484809,567
1326.174777561,568
1140.068739149,569
959.492808024,570
1225.531833225,571
1309.647881402,572
1245.887356228,573
1068.404778375,574
924.805141873,575
1202.509928385,576
1497.86726888,577
1378.36867947,578
1681.076944987,579
1743.211900499,580
1646.368448893,581
1731.784613715,582
1680.619506836,583
1652.087999132,584
1623.068779839,585
1668.734809028,586
1675.103786892,587
1517.746663411,588
1555.264811198,589
1659.364556207,590
1683.574720595,591
1626.24867079,592
1554.69418674,593
1409.660997179,594
1151.054890951,595
1181.575012207,596
1171.452148438,597
1370.249389648,598
1487.483534071,599
1361.771796332,600
1147.597805447,601
987.146138509,602
1220.409545898,603
1288.985880534,604
1240.183254666,605
1091.544155545,606
970.841634115,607
1220.865180122,608
1011.069885254,609
1124.551357693,610
1733.712754991,611
1829.832302517,612
1693.508463542,613
1706.656521267,614
1711.881693522,615
1681.792480469,616
1605.59362793,617
1618.062879774,618
1647.872328016,619
1535.732286241,620
1614.326639811,621
1708.761664497,622
1727.705091688,623
1653.493041992,624
