Extract_crop_fw_m,Plot
24.01705122,294
23.817091942,295
23.272174835,296
23.441864491,297
23.948624611,298
24.170734406,299
24.454281807,300
19.700592995,301
18.026740551,302
15.247647762,303
15.72614789,304
14.326427937,305
18.947917461,306
22.905051231,307
22.804648876,308
22.683675766,309
22.982266903,310
23.750988483,311
24.145569801,312
23.432337761,313
22.492234707,314
22.536834717,315
23.278587818,316
23.273498058,317
22.429133415,318
22.575523853,319
23.257702351,320
19.588844299,321
17.851930618,322
15.321361065,323
17.505673885,324
16.394860744,325
19.505242348,326
21.985337734,327
22.655062675,328
22.725670338,329
23.156853199,330
23.28971529,331
23.408947945,332
23.221549034,333
23.042771339,334
23.390207767,335
24.064830303,336
23.435436249,337
21.966583252,338
21.967050552,339
23.098231792,340
19.440336227,341
18.317026615,342
13.674227715,343
16.915205479,344
15.874391317,345
19.709787369,346
22.529952049,347
23.214701176,348
23.092514992,349
23.057703495,350
22.851733685,351
22.928977489,352
23.022934914,353
22.835169792,354
22.674305916,355
23.081521034,356
22.763940334,357
21.779237747,358
21.755498886,359
22.513643265,360
18.182914257,361
18.286298752,362
15.951917887,363
17.766960621,364
14.67361784,365
19.810656071,366
23.214621544,367
23.818146229,368
23.415255547,369
22.946125507,370
22.444657326,371
22.687574863,372
22.926805496,373
22.416668415,374
21.236262798,375
21.406247616,376
22.036370277,377
21.907958031,378
22.102729321,379
22.052636623,380
16.733967304,381
17.644692421,382
15.788032055,383
18.100028992,384
16.614865303,385
19.217449665,386
21.692708492,387
22.804129601,388
22.951046944,389
22.252016544,390
21.730727673,391
21.910225868,392
22.164308548,393
21.748237133,394
20.846554279,395
21.421080589,396
22.060207844,397
22.351337433,398
22.652106285,399
23.150201321,400
16.894359112,401
17.38785553,402
15.194002867,403
18.665490627,404
18.067591667,405
20.456123352,406
22.191502571,407
22.625849247,408
22.860636234,409
22.819521904,410
22.850387573,411
23.51288414,412
23.791063309,413
23.960924149,414
23.65982914,415
23.147250175,416
22.843001842,417
23.397852898,418
24.218780041,419
24.598781586,420
16.874348164,421
16.335355997,422
12.639521122,423
17.244050503,424
18.530507565,425
21.477676868,426
22.920404434,427
22.832452774,428
22.95331955,429
23.444700718,430
23.830750942,431
24.963951588,432
25.13239193,433
25.698709965,434
25.765887737,435
24.808841705,436
23.841551304,437
24.31877327,438
25.1537323,439
25.240054607,440
16.2282722,441
15.431778193,442
12.813977003,443
16.526674509,444
18.791137218,445
20.894452572,446
22.253335476,447
22.722019672,448
22.350167751,449
22.641610146,450
23.25125885,451
23.868305683,452
24.343240738,453
24.604421616,454
24.900140285,455
24.950235367,456
24.715913296,457
24.25039959,458
23.799786091,459
23.542899609,460
15.335980177,461
14.843866825,462
13.794271231,463
16.865318775,464
16.809861183,465
20.07149601,466
22.245251656,467
22.919025421,468
23.000074387,469
23.292694569,470
23.751019955,471
24.306376457,472
24.711146355,473
24.7786479,474
24.669795513,475
24.348298073,476
24.005599976,477
24.319912434,478
24.670682907,479
23.640324116,480
14.80741787,481
14.643784046,482
13.711971283,483
16.32220459,484
15.190180302,485
19.616194725,486
22.329623222,487
23.05426693,488
23.400420189,489
23.812837601,490
24.191213608,491
24.824595451,492
25.217710495,493
25.124516487,494
24.70379734,495
24.036202431,496
23.474054337,497
24.439450264,498
25.586863518,499
24.087985039,500
14.848174334,501
14.523772717,502
10.942634821,503
14.75541997,504
14.670907974,505
