Extract_GALa2_dry_vol,Plot
154.453289032,171
158.037174225,172
165.941810608,173
175.455371857,174
194.049213409,175
214.810836792,176
225.321266174,177
228.933956146,178
230.189159393,179
231.581577301,180
190.082046509,181
182.819702148,182
167.636695862,183
170.226036072,184
174.797496796,185
180.647518158,186
185.303890228,187
178.454170227,188
168.074195862,189
160.792793274,190
157.953723907,191
164.262451172,192
173.512695312,193
185.207180023,194
203.862815857,195
217.361087799,196
224.149600983,197
225.753631592,198
226.352336884,199
227.909950256,200
189.706611633,201
184.037948608,202
167.598167419,203
163.944885254,204
166.364723206,205
177.573738098,206
193.586761475,207
194.520317078,208
186.636192322,209
180.197746277,210
177.133117676,211
181.729034424,212
187.292007446,213
199.25579834,214
211.998939514,215
218.503089905,216
220.975280762,217
221.876235962,218
222.213775635,219
222.728973389,220
189.302360535,221
185.438354492,222
170.324558258,223
164.038757324,224
167.687274933,225
184.386898041,226
207.514076233,227
213.939746857,228
208.600131989,229
201.602909088,230
198.976783752,231
200.502281189,232
204.720581055,233
210.26455307,234
216.844764709,235
220.448390961,236
221.276851654,237
221.5885849,238
220.742702484,239
219.808525085,240
189.590072632,241
186.309738159,242
174.622005463,243
176.058578491,244
184.914913177,245
205.248271942,246
226.246322632,247
229.763820648,248
225.870986938,249
222.596458435,250
221.011707306,251
221.924125671,252
222.763786316,253
223.77910614,254
225.329467773,255
225.889297485,256
228.795257568,257
229.664150238,258
227.703285217,259
225.660316467,260
189.873806,261
184.081245422,262
175.282516479,263
186.694664001,264
207.018352509,265
225.504234314,266
238.389427185,267
239.540496826,268
235.477695465,269
235.486843109,270
236.626399994,271
236.664134979,272
238.701042175,273
240.001663208,274
239.789608002,275
239.0820961,276
241.041561127,277
243.705177307,278
242.700256348,279
241.317813873,280
188.495399475,281
178.767276764,282
171.857269287,283
182.616363525,284
204.238479614,285
225.083629608,286
239.320308685,287
239.800701141,288
237.102020264,289
240.222450256,290
244.004840851,291
244.769527435,292
244.705513,293
244.626499176,294
245.071025848,295
245.648239136,296
246.757972717,297
246.836181641,298
247.510044098,299
247.807331085,300
185.980201721,301
173.36781311,302
163.490909576,303
171.685787201,304
184.920650482,305
209.169761658,306
