Extract_elev_2020,Plot
1157.359741211,133
1157.08972168,134
1156.719451904,135
1156.258148193,136
1155.782867432,137
1155.284332275,138
1154.817443848,139
1154.314697266,140
1155.628997803,141
1154.963653564,142
1154.609283447,143
1155.83190918,144
1157.404998779,145
1158.459411621,146
1158.776855469,147
1158.617034912,148
1158.434234619,149
1158.213623047,150
1157.942230225,151
1157.651123047,152
1157.417053223,153
1157.174591064,154
1156.756866455,155
1156.299438477,156
1155.833068848,157
1155.352966309,158
1154.892333984,159
1154.423431396,160
1155.735809326,161
1155.079772949,162
1154.672668457,163
1155.754882812,164
1157.524383545,165
1158.840881348,166
1158.939605713,167
1158.777832031,168
1158.575561523,169
1158.341705322,170
1158.026092529,171
1157.698791504,172
1157.42565918,173
1157.167358398,174
1156.745605469,175
1156.26651001,176
1155.7918396,177
1155.324951172,178
1154.852386475,179
1154.393341064,180
1155.823059082,181
1155.182800293,182
1154.765289307,183
1155.962219238,184
1157.645782471,185
1158.996856689,186
1158.986572266,187
1158.79864502,188
1158.5496521,189
1158.322509766,190
1158.014892578,191
1157.644775391,192
1157.372436523,193
1157.079559326,194
1156.627075195,195
1156.161010742,196
1155.697967529,197
1155.16506958,198
1154.729248047,199
1154.318664551,200
1155.878540039,201
1155.243713379,202
1154.933776855,203
1156.249633789,204
1157.725830078,205
1158.829101562,206
1159.014587402,207
1158.731567383,208
1158.526428223,209
1158.292236328,210
1157.971557617,211
1157.612670898,212
1157.317626953,213
1156.948303223,214
1156.541015625,215
1156.081542969,216
1155.550109863,217
1155.077697754,218
1154.598449707,219
1154.16998291,220
1155.915313721,221
1155.258483887,222
1154.878967285,223
1156.203582764,224
1157.688812256,225
1158.90713501,226
1158.976165771,227
1158.721374512,228
1158.479156494,229
1158.243041992,230
1157.940032959,231
1157.548858643,232
1157.234436035,233
1156.911468506,234
1156.464080811,235
1155.979522705,236
1155.485565186,237
1154.974151611,238
1154.503845215,239
1154.061859131,240
1155.971862793,241
1155.275360107,242
1154.817596436,243
1155.988830566,244
1157.742401123,245
1158.975128174,246
1158.790100098,247
1158.547698975,248
1158.317565918,249
