,Plot,Year,Date,Red,Green,Blue,BI,GLI,NGRDI,VARI,BGI,ExG,ExR,ExB,ExGR,MGRVI,RGBVI,GRRI,VEG,Range,Row,Mean.Yld.bu.ac
6450,1,2020,6232020,55.994,80.569,48.344,63.1501758588209,0.213955310461209,0.179953574540688,0.278568108910779,0.600032270476238,56.8,-0.0117756493804994,-0.0696966583201285,56.8117756493805,0.348617759430696,0.411421057767238,1.43888630924742,1.51102454125878,67,1,178.076035458237
6451,10,2020,6232020,49.068,75.69,43.456,57.807348610132,0.241308055628444,0.213389121338912,0.327445819291038,0.574131325142027,58.856,-0.0415827457881033,-0.0882899164159939,58.8975827457881,0.408191286293158,0.457518283304938,1.54255319148936,1.60622150138499,67,10,218.098259438196
6452,100,2020,6232020,50.407,75.093,42.386,57.6668515237885,0.236205598014643,0.196701195219124,0.297013740164112,0.564446752693327,57.393,-0.0269420916574343,-0.0938291459680974,57.4199420916574,0.378748110855816,0.450440891872016,1.48973356875037,1.57823978439077,63,20,219.528599319534
6453,1000,2020,6232020,31.622,49.728,28.543,37.8044429355422,0.246151822128667,0.222569145666872,0.342871210256216,0.573982464607465,39.291,-0.0496592139626729,-0.0888846423339067,39.3406592139627,0.42412824026115,0.465206786156271,1.5725760546455,1.62714679143691,18,20,234.371343553236
6454,1001,2020,6232020,34.622,53.089,29.653,40.3997739845163,0.245833162220671,0.210543717435669,0.318078473250887,0.558552619186649,41.903,-0.0393493745952762,-0.0986230871476773,41.9423493745953,0.403213521019793,0.465996022576946,1.53338917451332,1.61457343704053,17,1,158.580044068674
6455,1002,2020,6232020,36.374,54.639,30.749,41.8488916539813,0.23897256818272,0.200685616340523,0.303083101022169,0.562766522081297,42.155,-0.0305136249404576,-0.095188975213942,42.1855136249405,0.385831959840924,0.454924162488243,1.50214438884918,1.58857374978506,17,2,142.901166958667
6456,1003,2020,6232020,35.367,53.602,29.942,40.9085258310131,0.242851263383049,0.204959030673605,0.30892642350111,0.558598559755233,41.895,-0.0343803348722995,-0.0982516335746903,41.9293803348723,0.393392354948319,0.461382063006749,1.51559363248226,1.6020072295823,17,3,181.399443244541
6457,1004,2020,6232020,35.022,54.048,30.697,41.1907457122754,0.243805195178782,0.213607275176827,0.325938361913899,0.567958111308467,42.377,-0.0418913390165906,-0.0924478362153181,42.4188913390166,0.408572190652207,0.461961314607643,1.54325852321398,1.61250575150715,17,4,176.493874268126
6458,1005,2020,6232020,34.843,53.759,29.642,40.7541936247057,0.250187496729708,0.213494052053001,0.320827679782904,0.551386744545099,43.033,-0.0421061533777612,-0.103685599269308,43.0751061533778,0.408374512163213,0.473435291399171,1.54289240306518,1.6282268694111,17,5,169.080115086785
6459,1006,2020,6232020,36.585,55.674,31.099,42.4468463767726,0.24388936056124,0.206906643254317,0.312115761935906,0.558591083809319,43.664,-0.0361143987418732,-0.0983754600431265,43.7001143987419,0.396825063088578,0.462986727455322,1.52177121771218,1.60636682046984,17,6,183.905407059644
6460,1007,2020,6232020,35.592,54.84,30.525,41.6572990363033,0.247802863530094,0.212845010615711,0.321298011918474,0.556619256017505,43.563,-0.0414295989483867,-0.10007688682755,43.6044295989484,0.407240792214663,0.469233058957348,1.54079568442347,1.62164228849437,17,7,203.985217079849
6461,1008,2020,6232020,36.041,54.842,30.935,41.8870420297256,0.24175251896298,0.206870371796706,0.313621805564823,0.56407497903067,42.708,-0.0359930387955803,-0.0946740219015252,42.7439930387956,0.396761208519816,0.459110485545305,1.52165589190089,1.60106847767245,17,8,208.382813902614
