Plot,Dry_yld_22
254,14021.411892361
255,13914.343153212
256,13829.589257812
257,13831.204020182
258,14044.651448568
259,14332.446533203
260,14458.108951823
261,14374.362304688
262,14308.549587674
263,14375.241102431
264,14436.81484375
265,14562.978922526
266,14777.806369358
267,14959.038547092
268,15011.390397135
269,14990.795193142
270,14879.959852431
271,14769.085042318
272,14769.46500651
273,14829.616726345
274,14874.242648655
275,14869.435058594
276,14786.689290365
277,14398.85413954
278,13776.836398655
279,13477.512586806
280,14159.788704427
281,14100.30319553
282,14045.071940104
283,13977.03030599
284,13912.95429145
285,13887.088270399
286,13864.00374349
287,13852.52734375
288,13870.34524197
289,14074.665961372
290,14376.242675781
291,14509.753710937
292,14405.107096354
293,14342.796685113
294,14522.094455295
295,14731.298177083
296,14793.758517795
297,14784.136745877
298,14802.403483073
299,14859.005403646
300,14927.685845269
301,14901.991400825
302,14806.55609809
303,14801.387076823
304,14892.46858724
305,14931.639621311
306,14850.753580729
307,14639.032682292
308,14198.267171224
309,13586.543728299
310,13424.385416667
311,13983.787011719
312,13904.870659722
313,13850.577907986
314,13808.700455729
315,13769.405409071
316,13822.498942057
317,13942.015977648
318,14001.959895833
319,14046.194986979
320,14176.404676649
321,14425.058024089
322,14544.538476563
323,14475.15085178
324,14477.630181207
325,14722.409857856
326,14974.181933594
327,14955.446940104
328,14724.728000217
329,14566.567111545
330,14595.386588542
331,14721.508327908
332,14789.219428168
333,14763.419949002
334,14787.427473958
335,14855.943332248
336,14857.244167752
337,14735.951063368
338,14467.148209635
339,14025.759711372
340,13351.216824002
341,13074.024658203
342,13890.130390625
343,13787.121028646
344,13784.946842448
345,13819.118125
346,13825.133300781
347,13927.933691406
348,14120.190266927
349,14230.586875
350,14260.281347656
351,14322.439160156
352,14529.41171875
353,14609.763359375
354,14571.527213542
355,14630.334700521
356,14915.03733724
357,15073.927734375
358,14967.908398438
359,14704.535839844
360,14490.994791667
361,14507.828554688
362,14589.923470052
363,14699.777571615
364,14765.45703125
365,14796.763632812
366,14786.57906901
367,14731.201139323
368,14655.707161458
369,14388.950078125
370,13943.01311849
371,13228.603450521
372,12714.424772135
373,13911.981022135
374,13896.586507161
375,13993.816541884
376,14051.270833333
377,13991.882405599
378,14049.116536458
379,14280.472086589
380,14426.015494792
381,14437.005371094
382,14464.857476128
383,14582.587972005
384,14592.124348958
385,14575.999565972
386,14721.469428168
387,14988.368625217
388,15047.491829427
389,14889.705322266
390,14723.602105035
391,14634.59366862
392,14639.321484375
393,14633.970784505
394,14737.801350911
395,14864.308024089
396,14863.773079427
397,14743.155192057
398,14623.652642144
399,14587.638807509
400,14369.052083333
401,13949.524441189
402,13175.656819661
403,12565.033582899
404,13979.83828125
405,14123.625488281
406,14309.295355903
407,14319.361914062
408,14108.260091146
409,14076.733778212
410,14358.575602214
411,14539.027766927
412,14573.289008247
413,14545.762858073
414,14490.379991319
415,14374.373795573
416,14391.598578559
417,14634.421657986
418,14897.955810547
419,14916.993359375
420,14785.127061632
421,14733.517144097
422,14776.286214193
423,14769.930338542
424,14722.343777127
425,14796.715386285
426,14904.306369358
427,14855.48421224
428,14645.500217014
429,14446.437879774
430,14440.234944661
431,14371.446516927
432,14024.304931641
433,13322.428493924
434,12876.161593967
435,14011.354003906
436,14263.161078559
437,14466.876519097
438,14398.555110677
439,14108.904622396
440,14021.274278429
441,14344.651828342
442,14599.433235677
443,14661.706081814
444,14549.949517144
445,14319.422661675
446,14131.0921875
447,14167.878200955
448,14467.079833984
449,14741.288384332
450,14768.406119792
451,14704.241265191
452,14715.499376085
453,14732.138346354
454,14709.049348958
455,14684.703803168
456,14727.331054688
457,14765.934407552
458,14650.290950521
459,14402.689371745
460,14192.470214844
461,14299.361680773
462,14401.704980469
463,14161.162027995
464,13666.903700087
465,13345.887641059
466,14053.0640625
467,14282.550097656
468,14420.617643229
469,14325.197148438
470,14074.941959635
471,14010.472721354
472,14351.392122396
473,14642.510507813
474,14709.408398438
475,14536.450423177
476,14269.817447917
477,14120.356679688
478,14179.319726563
479,14410.073990885
480,14645.938802083
481,14701.711132813
482,14687.095638021
483,14676.469270833
484,14632.844140625
485,14565.703789062
486,14603.880891927
487,14643.225130208
488,14554.82265625
489,14406.6471875
490,14189.397753906
491,14054.496484375
492,14255.698502604
493,14473.419140625
494,14342.312402344
495,13945.032389323
496,13626.068847656
497,14134.360058594
498,14271.659966363
499,14324.918375651
500,14269.166666667
501,14130.322916667
502,14149.240451389
503,14448.144422743
504,14686.764485677
505,14707.807400174
506,14539.846761068
507,14386.341064453
508,14351.40078125
509,14411.691704644
510,14520.596869575
511,14675.175157335
512,14729.721484375
513,14722.174587674
514,14667.86336263
515,14554.718017578
516,14477.530175781
517,14559.228597005
518,14610.42852105
519,14435.315538194
520,14246.418457031
521,14096.327148438
522,14059.306830512
523,14284.38680013
524,14524.710449219
525,14462.551025391
526,14094.301161024
527,13719.586859809
528,14173.294563802
529,14261.833685981
530,14300.008924696
531,14323.97796224
532,14333.795600043
533,14397.596842448
534,14589.852132161
535,14718.699153646
536,14635.731391059
537,14494.859700521
538,14527.61328125
539,14601.119856771
540,14644.538302951
541,14709.132269965
542,14803.455837674
543,14797.469303385
544,14781.569281684
545,14681.336832682
546,14499.157552083
547,14439.423079427
548,14568.811957465
549,14636.580268012
550,14444.676974826
551,14249.3890625
552,14115.469156901
553,14116.024142795
554,14321.869439019
555,14489.672135417
556,14439.707356771
557,14136.790635851
558,13748.470811632
559,14140.374609375
560,14270.203027344
561,14375.997721354
562,14455.666171875
563,14549.272591146
564,14612.046158854
565,14659.485481771
566,14649.295507813
567,14516.828190104
568,14430.836686198
569,14555.058984375
570,14657.135078125
571,14695.560188802
572,14776.980696615
573,14869.759440104
574,14839.241953125
575,14817.925813802
576,14667.841829427
577,14481.94905599
578,14433.158476563
579,14574.441080729
580,14672.501529948
581,14558.954720052
582,14405.131171875
583,14204.939615885
584,14209.373372396
585,14377.247591146
586,14444.249375
587,14348.982910156
588,14100.184635417
589,13755.316699219
590,14072.680598958
591,14321.978542752
592,14487.875298394
593,14578.79078776
594,14681.893907335
595,14729.648790148
596,14619.034749349
597,14499.341210937
598,14399.391682943
599,14405.730658637
600,14555.413682726
601,14632.064290365
