OID_,FID,X,Y,Extract_GALa2_dry_vol
136,135,-93.539396609999983,44.065067569999997,219.905559540000013
137,136,-93.539396609999983,44.065028970000000,224.934108734000006
138,137,-93.539396609999983,44.064990369999990,230.597648620999990
139,138,-93.539396609999983,44.064951769999986,231.755111693999993
140,139,-93.539396609999983,44.064913169999997,226.694522857999999
141,140,-93.539358010000001,44.065646569999991,191.005867004000010
142,141,-93.539358010000001,44.065607969999988,179.607627868999998
143,142,-93.539358010000001,44.065569369999992,166.311477660999998
144,143,-93.539358010000001,44.065530769999995,174.758152007999996
145,144,-93.539358010000001,44.065492169999999,190.441879271999994
146,145,-93.539358010000001,44.065453569999981,202.095882415999995
147,146,-93.539358010000001,44.065414969999992,200.241897582999997
148,147,-93.539358010000001,44.065376369999996,194.775531768999997
149,148,-93.539358010000001,44.065337769999999,187.446308135999999
150,149,-93.539358010000001,44.065299169999989,180.985054015999992
151,150,-93.539358010000001,44.065260569999992,177.346302032000011
152,151,-93.539358010000001,44.065221970000003,179.199851990000013
153,152,-93.539358010000001,44.065183370000000,182.104034423999991
154,153,-93.539358010000001,44.065144769999989,186.682456970000004
155,154,-93.539358010000001,44.065106169999993,198.597858429000013
156,155,-93.539358010000001,44.065067569999997,214.313014984000006
157,156,-93.539358010000001,44.065028970000000,224.624809265000010
158,157,-93.539358010000001,44.064990369999990,229.735321045000006
159,158,-93.539358010000001,44.064951769999986,231.252174376999989
160,159,-93.539358010000001,44.064913169999997,230.415699004999993
161,160,-93.539319409999990,44.065646569999991,190.327003479000012
162,161,-93.539319409999990,44.065607969999988,181.055809020999988
163,162,-93.539319409999990,44.065569369999992,167.222362518000011
164,163,-93.539319409999990,44.065530769999995,173.129783629999991
165,164,-93.539319409999990,44.065492169999999,182.536682129000013
166,165,-93.539319409999990,44.065453569999981,185.025814056000002
167,166,-93.539319409999990,44.065414969999992,186.195598601999990
168,167,-93.539319409999990,44.065376369999996,177.829929351999994
169,168,-93.539319409999990,44.065337769999999,166.793285370000007
170,169,-93.539319409999990,44.065299169999989,158.785537720000008
171,170,-93.539319409999990,44.065260569999992,154.453289031999986
172,171,-93.539319409999990,44.065221970000003,158.037174225000001
173,172,-93.539319409999990,44.065183370000000,165.941810607999997
174,173,-93.539319409999990,44.065144769999989,175.455371856999989
175,174,-93.539319409999990,44.065106169999993,194.049213409000004
176,175,-93.539319409999990,44.065067569999997,214.810836792000003
177,176,-93.539319409999990,44.065028970000000,225.321266173999987
178,177,-93.539319409999990,44.064990369999990,228.933956146000014
179,178,-93.539319409999990,44.064951769999986,230.189159393000011
180,179,-93.539319409999990,44.064913169999997,231.581577301000010
181,180,-93.539280810000008,44.065646569999991,190.082046509000008
182,181,-93.539280810000008,44.065607969999988,182.819702148000005
183,182,-93.539280810000008,44.065569369999992,167.636695862000010
184,183,-93.539280810000008,44.065530769999995,170.226036071999999
185,184,-93.539280810000008,44.065492169999999,174.797496795999990
