OID_,FID,X,Y,Extract_GALa1_crp_fw_v
1,0,-93.539628209999975,44.065646569999991,1155.848663329999908
2,1,-93.539628209999975,44.065607969999988,1207.090423584000064
3,2,-93.539628209999975,44.065569369999992,1066.707366942999897
4,3,-93.539628209999975,44.065530769999995,1122.988342285000044
5,4,-93.539628209999975,44.065492169999999,954.752044677999947
6,5,-93.539628209999975,44.065453569999981,1232.124481200999981
7,6,-93.539628209999975,44.065414969999992,1437.974121094000111
8,7,-93.539628209999975,44.065376369999996,1502.878112792999900
9,8,-93.539628209999975,44.065337769999999,1537.404510498000036
10,9,-93.539628209999975,44.065299169999989,1540.744018554999911
11,10,-93.539628209999975,44.065260569999992,1614.308532714999956
12,11,-93.539628209999975,44.065221970000003,1705.247436523000033
13,12,-93.539628209999975,44.065183370000000,1677.750732422000056
14,13,-93.539628209999975,44.065144769999989,1616.564361572000053
15,14,-93.539628209999975,44.065106169999993,1624.870330811000031
16,15,-93.539628209999975,44.065067569999997,1685.440246582000100
17,16,-93.539628209999975,44.065028970000000,1725.251892089999956
18,17,-93.539628209999975,44.064990369999990,1730.444793700999981
19,18,-93.539628209999975,44.064951769999986,1715.539031982000097
20,19,-93.539628209999975,44.064913169999997,1682.686126709000064
21,20,-93.539589610000007,44.065646569999991,1217.986877440999933
22,21,-93.539589610000007,44.065607969999988,1234.447357177999947
23,22,-93.539589610000007,44.065569369999992,1110.873321533000080
24,23,-93.539589610000007,44.065530769999995,1149.359680175999983
25,24,-93.539589610000007,44.065492169999999,925.205001831000004
26,25,-93.539589610000007,44.065453569999981,1239.297576903999925
27,26,-93.539589610000007,44.065414969999992,1501.343231200999981
28,27,-93.539589610000007,44.065376369999996,1552.046691895000095
29,28,-93.539589610000007,44.065337769999999,1541.960754395000095
30,29,-93.539589610000007,44.065299169999989,1555.857299804999911
31,30,-93.539589610000007,44.065260569999992,1597.437622070000089
32,31,-93.539589610000007,44.065221970000003,1618.553802489999953
33,32,-93.539589610000007,44.065183370000000,1586.524169922000056
34,33,-93.539589610000007,44.065144769999989,1573.267028809000067
35,34,-93.539589610000007,44.065106169999993,1624.088989258000083
36,35,-93.539589610000007,44.065067569999997,1677.176605225000003
37,36,-93.539589610000007,44.065028970000000,1686.135253905999889
38,37,-93.539589610000007,44.064990369999990,1670.959838866999917
39,38,-93.539589610000007,44.064951769999986,1670.871490478999931
40,39,-93.539589610000007,44.064913169999997,1649.083374023000033
41,40,-93.539551009999997,44.065646569999991,1261.121490478999931
42,41,-93.539551009999997,44.065607969999988,1250.397338866999917
43,42,-93.539551009999997,44.065569369999992,1124.137023925999983
44,43,-93.539551009999997,44.065530769999995,1221.049743651999961
45,44,-93.539551009999997,44.065492169999999,1005.641510010000047
46,45,-93.539551009999997,44.065453569999981,1323.601226807000103
47,46,-93.539551009999997,44.065414969999992,1567.889251709000064
48,47,-93.539551009999997,44.065376369999996,1617.422882079999908
49,48,-93.539551009999997,44.065337769999999,1580.589508057000103
50,49,-93.539551009999997,44.065299169999989,1578.387603760000047
51,50,-93.539551009999997,44.065260569999992,1581.937805175999983
52,51,-93.539551009999997,44.065221970000003,1570.627807616999917
53,52,-93.539551009999997,44.065183370000000,1539.759460449000017
54,53,-93.539551009999997,44.065144769999989,1550.502136229999905
55,54,-93.539551009999997,44.065106169999993,1609.100280762000011
56,55,-93.539551009999997,44.065067569999997,1645.690307616999917
57,56,-93.539551009999997,44.065028970000000,1634.824859619000108
58,57,-93.539551009999997,44.064990369999990,1594.643890380999892
59,58,-93.539551009999997,44.064951769999986,1600.014007567999897
60,59,-93.539551009999997,44.064913169999997,1593.283050537000008
61,60,-93.539512409999986,44.065646569999991,1271.778564452999944
62,61,-93.539512409999986,44.065607969999988,1195.675872802999947
63,62,-93.539512409999986,44.065569369999992,1123.999023437999995
64,63,-93.539512409999986,44.065530769999995,1246.015808104999905
65,64,-93.539512409999986,44.065492169999999,1206.242187500000000
66,65,-93.539512409999986,44.065453569999981,1434.600708008000083
67,66,-93.539512409999986,44.065414969999992,1583.105407714999956
68,67,-93.539512409999986,44.065376369999996,1653.617218017999903
69,68,-93.539512409999986,44.065337769999999,1614.933410645000095
70,69,-93.539512409999986,44.065299169999989,1588.864105225000003
71,70,-93.539512409999986,44.065260569999992,1573.723632812000005
72,71,-93.539512409999986,44.065221970000003,1622.470031737999989
73,72,-93.539512409999986,44.065183370000000,1630.684448241999917
74,73,-93.539512409999986,44.065144769999989,1606.661651611000025
75,74,-93.539512409999986,44.065106169999993,1579.844299315999933
76,75,-93.539512409999986,44.065067569999997,1570.722503662000008
77,76,-93.539512409999986,44.065028970000000,1603.890777587999992
78,77,-93.539512409999986,44.064990369999990,1579.064086913999972
79,78,-93.539512409999986,44.064951769999986,1558.519012450999981
80,79,-93.539512409999986,44.064913169999997,1598.371002197000053
81,80,-93.539473810000004,44.065646569999991,1275.588714600000003
82,81,-93.539473810000004,44.065607969999988,1168.013092040999936
83,82,-93.539473810000004,44.065569369999992,1114.597961425999983
84,83,-93.539473810000004,44.065530769999995,1219.943634033000080
85,84,-93.539473810000004,44.065492169999999,1089.526351928999929
86,85,-93.539473810000004,44.065453569999981,1428.974365234000061
87,86,-93.539473810000004,44.065414969999992,1626.527496337999992
88,87,-93.539473810000004,44.065376369999996,1624.245147704999908
89,88,-93.539473810000004,44.065337769999999,1595.405364989999953
90,89,-93.539473810000004,44.065299169999989,1558.151397704999908
91,90,-93.539473810000004,44.065260569999992,1567.024780273000033
92,91,-93.539473810000004,44.065221970000003,1595.315765380999892
93,92,-93.539473810000004,44.065183370000000,1585.560058594000111
94,93,-93.539473810000004,44.065144769999989,1581.684661864999953
95,94,-93.539473810000004,44.065106169999993,1588.614685059000067
96,95,-93.539473810000004,44.065067569999997,1553.404937744000108
97,96,-93.539473810000004,44.065028970000000,1550.970764160000044
98,97,-93.539473810000004,44.064990369999990,1566.544403075999981
99,98,-93.539473810000004,44.064951769999986,1573.108764648000033
100,99,-93.539473810000004,44.064913169999997,1540.982849121000072
101,100,-93.539435209999994,44.065646569999991,1299.921173096000075
102,101,-93.539435209999994,44.065607969999988,1204.176788329999908
103,102,-93.539435209999994,44.065569369999992,1078.668609619000108
104,103,-93.539435209999994,44.065530769999995,1164.769897461000028
105,104,-93.539435209999994,44.065492169999999,987.888320923000038
106,105,-93.539435209999994,44.065453569999981,1375.691894530999889
107,106,-93.539435209999994,44.065414969999992,1593.348999023000033
108,107,-93.539435209999994,44.065376369999996,1592.819702148000033
109,108,-93.539435209999994,44.065337769999999,1575.598022461000028
110,109,-93.539435209999994,44.065299169999989,1536.368560790999936
111,110,-93.539435209999994,44.065260569999992,1552.968017577999944
112,111,-93.539435209999994,44.065221970000003,1587.356140137000011
113,112,-93.539435209999994,44.065183370000000,1577.412719726999967
114,113,-93.539435209999994,44.065144769999989,1575.293029785000044
115,114,-93.539435209999994,44.065106169999993,1584.664520263999975
116,115,-93.539435209999994,44.065067569999997,1554.632934570000089
117,116,-93.539435209999994,44.065028970000000,1552.478454589999956
118,117,-93.539435209999994,44.064990369999990,1605.410949707000100
119,118,-93.539435209999994,44.064951769999986,1624.379364013999975
120,119,-93.539435209999994,44.064913169999997,1530.339599609000061
121,120,-93.539396609999983,44.065646569999991,1310.649505614999953
122,121,-93.539396609999983,44.065607969999988,1215.400268554999911
123,122,-93.539396609999983,44.065569369999992,1035.191421509000065
124,123,-93.539396609999983,44.065530769999995,1159.628387450999981
125,124,-93.539396609999983,44.065492169999999,953.531448363999971
126,125,-93.539396609999983,44.065453569999981,1329.979461670000092
127,126,-93.539396609999983,44.065414969999992,1523.550201415999936
128,127,-93.539396609999983,44.065376369999996,1537.381286621000072
129,128,-93.539396609999983,44.065337769999999,1535.513061523000033
130,129,-93.539396609999983,44.065299169999989,1484.310028075999981
131,130,-93.539396609999983,44.065260569999992,1494.535491942999897
132,131,-93.539396609999983,44.065221970000003,1559.178222655999889
133,132,-93.539396609999983,44.065183370000000,1565.864501952999944
134,133,-93.539396609999983,44.065144769999989,1552.814178466999920
135,134,-93.539396609999983,44.065106169999993,1531.310943603999931
136,135,-93.539396609999983,44.065067569999997,1555.088653563999969
137,136,-93.539396609999983,44.065028970000000,1592.786254883000083
138,137,-93.539396609999983,44.064990369999990,1664.455261229999905
139,138,-93.539396609999983,44.064951769999986,1683.046997070000089
140,139,-93.539396609999983,44.064913169999997,1592.055572510000047
141,140,-93.539358010000001,44.065646569999991,1289.671234130999892
142,141,-93.539358010000001,44.065607969999988,1219.111145020000095
143,142,-93.539358010000001,44.065569369999992,1004.553115844999979
144,143,-93.539358010000001,44.065530769999995,1209.269042969000111
145,144,-93.539358010000001,44.065492169999999,1055.731826782000098
146,145,-93.539358010000001,44.065453569999981,1336.127990723000039
