OID_,FID,X,Y,Extract_GALa2_moist
1,0,-93.539628209999975,44.065646569999991,17.449181079999999
2,1,-93.539628209999975,44.065607969999988,17.639692307000001
3,2,-93.539628209999975,44.065569369999992,17.951147555999999
4,3,-93.539628209999975,44.065530769999995,17.811791896999999
5,4,-93.539628209999975,44.065492169999999,17.142653464999999
6,5,-93.539628209999975,44.065453569999981,16.915897846000000
7,6,-93.539628209999975,44.065414969999992,17.355565548000001
8,7,-93.539628209999975,44.065376369999996,17.798069000000002
9,8,-93.539628209999975,44.065337769999999,17.941862582999999
10,9,-93.539628209999975,44.065299169999989,17.942246913999998
11,10,-93.539628209999975,44.065260569999992,17.939476490000001
12,11,-93.539628209999975,44.065221970000003,17.949071407000002
13,12,-93.539628209999975,44.065183370000000,17.970368385000000
14,13,-93.539628209999975,44.065144769999989,18.004888057999999
15,14,-93.539628209999975,44.065106169999993,18.100842953000001
16,15,-93.539628209999975,44.065067569999997,18.176023959999998
17,16,-93.539628209999975,44.065028970000000,18.190014839000000
18,17,-93.539628209999975,44.064990369999990,18.150998592000001
19,18,-93.539628209999975,44.064951769999986,18.119730473000001
20,19,-93.539628209999975,44.064913169999997,18.131776333000001
21,20,-93.539589610000007,44.065646569999991,17.395799637000000
22,21,-93.539589610000007,44.065607969999988,17.592308998000000
23,22,-93.539589610000007,44.065569369999992,17.912765025999999
24,23,-93.539589610000007,44.065530769999995,17.875177383000000
25,24,-93.539589610000007,44.065492169999999,17.377613067999999
26,25,-93.539589610000007,44.065453569999981,17.125090599000000
27,26,-93.539589610000007,44.065414969999992,17.541055201999999
28,27,-93.539589610000007,44.065376369999996,17.840802192999998
29,28,-93.539589610000007,44.065337769999999,17.927426338000000
30,29,-93.539589610000007,44.065299169999989,17.901920794999999
31,30,-93.539589610000007,44.065260569999992,17.875244617000000
32,31,-93.539589610000007,44.065221970000003,17.875715255999999
33,32,-93.539589610000007,44.065183370000000,17.890486717000002
34,33,-93.539589610000007,44.065144769999989,17.923337459999999
35,34,-93.539589610000007,44.065106169999993,17.985312939000000
36,35,-93.539589610000007,44.065067569999997,18.042723178999999
37,36,-93.539589610000007,44.065028970000000,18.035467624999999
38,37,-93.539589610000007,44.064990369999990,17.986535071999999
39,38,-93.539589610000007,44.064951769999986,17.928319454000000
40,39,-93.539589610000007,44.064913169999997,17.919959068000001
41,40,-93.539551009999997,44.065646569999991,17.332022667000000
42,41,-93.539551009999997,44.065607969999988,17.528193950999999
43,42,-93.539551009999997,44.065569369999992,17.909514904000002
44,43,-93.539551009999997,44.065530769999995,18.172327995000000
45,44,-93.539551009999997,44.065492169999999,18.104959964999999
46,45,-93.539551009999997,44.065453569999981,17.903306484000002
47,46,-93.539551009999997,44.065414969999992,17.950131416000001
48,47,-93.539551009999997,44.065376369999996,18.009157657999999
49,48,-93.539551009999997,44.065337769999999,17.995069981000000
50,49,-93.539551009999997,44.065299169999989,17.943650723000001
51,50,-93.539551009999997,44.065260569999992,17.911017418000000
52,51,-93.539551009999997,44.065221970000003,17.911399364000001
53,52,-93.539551009999997,44.065183370000000,17.911186218000001
54,53,-93.539551009999997,44.065144769999989,17.931568146000000
55,54,-93.539551009999997,44.065106169999993,17.965646744000001
56,55,-93.539551009999997,44.065067569999997,17.996563434999999
57,56,-93.539551009999997,44.065028970000000,17.984592915000000
58,57,-93.539551009999997,44.064990369999990,17.923492908000000
59,58,-93.539551009999997,44.064951769999986,17.850083827999999
60,59,-93.539551009999997,44.064913169999997,17.813617705999999
61,60,-93.539512409999986,44.065646569999991,17.269716740000000
62,61,-93.539512409999986,44.065607969999988,17.470114708000001
63,62,-93.539512409999986,44.065569369999992,17.857662678000001
64,63,-93.539512409999986,44.065530769999995,18.154491901000000
65,64,-93.539512409999986,44.065492169999999,18.216376781000001
66,65,-93.539512409999986,44.065453569999981,18.133174418999999
67,66,-93.539512409999986,44.065414969999992,18.102512835999999
68,67,-93.539512409999986,44.065376369999996,18.087451935000001
69,68,-93.539512409999986,44.065337769999999,18.060118674999998
70,69,-93.539512409999986,44.065299169999989,18.021985530999999
71,70,-93.539512409999986,44.065260569999992,17.990787983000001
72,71,-93.539512409999986,44.065221970000003,17.980545521000000
73,72,-93.539512409999986,44.065183370000000,17.977515221000001
74,73,-93.539512409999986,44.065144769999989,18.005053997000001
