MODEL,CV_METHOD,RMSE_AVG,R2_AVG
LR,RNDM_CV_LOFO,0.04940520775923781,0.9240810332670986
LR,RNDM_TEST_LOFO,0.16067952817116346,0.23160052195703396
RF,RNDM_CV_LOFO,0.0374384544772457,0.9562921369126892
RF,RNDM_TEST_LOFO,0.15412481077557874,0.2930135692165087
LR,GKF_CV_LOFO,0.07306249534749319,0.3948480350051345
LR,GKF_TEST_LOFO,0.16067952817116346,0.23160052195703396
RF,GKF_CV_LOFO,0.05226089841344419,0.8047977164480937
RF,GKF_TEST_LOFO,0.15412481077557874,0.29301356921650845
LR,SP_CV_LOFO,0.13238832703464504,-0.7292312076327108
LR,SP_TEST_LOFO,0.16067952817116346,0.23160052195703396
RF,SP_CV_LOFO,0.05523731360736466,0.7014448439867353
RF,SP_TEST_LOFO,0.15412481077557874,0.29301356921650845
