MODEL,CV_METHOD,RMSE_AVG,R2_AVG
LR,RNDM_CV_LOFO,0.05131233615997181,0.9181083318243839
LR,RNDM_TEST_LOFO,0.11345348056217205,0.6169092962417637
RF,RNDM_CV_LOFO,0.03796722671969593,0.9550301389203899
RF,RNDM_TEST_LOFO,0.1368466546405897,0.4426418759013948
LR,GKF_CV_LOFO,0.10826996332180994,-2.32871395399151
LR,GKF_TEST_LOFO,0.11345348056217205,0.6169092962417637
RF,GKF_CV_LOFO,0.051881411767060195,0.8032991581982383
RF,GKF_TEST_LOFO,0.1368466546405897,0.4426418759013948
LR,SP_CV_LOFO,0.05828542043976196,0.7073167953685963
LR,SP_TEST_LOFO,0.11345348056217205,0.6169092962417637
RF,SP_CV_LOFO,0.042210653232302144,0.8543504785003941
RF,SP_TEST_LOFO,0.1368466546405897,0.4426418759013947
