Extract_GALa2_dry_mass,Plot
9105.337158203,562
9394.641601562,563
9635.807128906,564
9946.219482422,565
11204.614501953,566
12326.744873047,567
12607.264404297,568
12726.663818359,569
12829.099609375,570
12975.982666016,571
13048.473144531,572
13122.269042969,573
13317.048095703,574
13531.982421875,575
13508.845947266,576
13314.993652344,577
12843.130615234,578
12467.716552734,579
12584.071533203,580
9168.861572266,581
9150.617675781,582
9273.220703125,583
9648.310302734,584
9995.122558594,585
11123.343994141,586
12273.401367188,587
12693.421630859,588
12962.707275391,589
13106.881347656,590
13150.476806641,591
13185.505859375,592
13236.710449219,593
13328.381835938,594
13415.502685547,595
13421.692382812,596
13317.387207031,597
13009.585449219,598
12785.926025391,599
12924.977783203,600
9212.293457031,601
9142.281738281,602
9035.600830078,603
9483.350830078,604
9974.684814453,605
11335.901855469,606
12474.117919922,607
12857.223876953,608
13176.401123047,609
13406.169433594,610
13460.208496094,611
13447.370849609,612
13437.245117188,613
13400.666748047,614
13243.657470703,615
13104.428710938,616
13157.848144531,617
13095.247314453,618
13017.424560547,619
13067.196044922,620
9355.834472656,621
9290.932861328,622
9140.033691406,623
9591.072265625,624
10075.285644531,625
11619.688964844,626
12813.731933594,627
12945.702392578,628
13110.676025391,629
13333.985351562,630
13412.279296875,631
13353.283935547,632
13282.940917969,633
13201.594238281,634
13045.051757812,635
12973.23828125,636
13067.790771484,637
13233.419433594,638
13193.898925781,639
12944.591308594,640
9578.176025391,641
9532.922119141,642
9258.608398438,643
9625.455810547,644
10144.595214844,645
11947.750488281,646
13132.880859375,647
13353.083984375,648
13248.061523438,649
13215.048828125,650
13178.258056641,651
13044.990478516,652
12968.424804688,653
12986.846435547,654
13074.308105469,655
13113.293212891,656
13120.530273438,657
13182.7890625,658
13165.469238281,659
12869.886230469,660
9723.593505859,661
9596.961425781,662
9421.473144531,663
9958.869873047,664
10392.171630859,665
11900.992919922,666
13073.592285156,667
13326.174804688,668
13209.697265625,669
13074.683837891,670
13019.460693359,671
12927.001708984,672
12881.765625,673
12979.877197266,674
13173.54296875,675
13209.629638672,676
13035.282226562,677
12896.498779297,678
12850.093017578,679
12753.967285156,680
9818.399414062,681
9682.971923828,682
9688.787597656,683
10397.092041016,684
10504.232177734,685
11636.808105469,686
12616.024169922,687
12875.341796875,688
12891.642822266,689
12963.922851562,690
13115.016357422,691
13114.131591797,692
13056.698730469,693
13117.096191406,694
13231.278320312,695
13183.852050781,696
12869.901123047,697
12618.957763672,698
12577.697265625,699
12720.466552734,700
9994.404296875,701
10041.839599609,702
10076.77734375,703
10189.226074219,704
10213.908691406,705
11327.308349609,706
12439.519287109,707
12781.202392578,708
12926.321044922,709
13145.095947266,710
13394.172119141,711
13385.905273438,712
13237.53515625,713
13206.225097656,714
13264.038818359,715
13233.577636719,716
12955.293701172,717
12797.531982422,718
12899.749267578,719
13038.170898438,720
10121.751464844,721
10348.081787109,722
10366.946289062,723
10021.051757812,724
10013.584716797,725
11307.231933594,726
12455.01171875,727
12822.257080078,728
12997.364257812,729
13238.477783203,730
13497.151123047,731
13501.259033203,732
13366.956054688,733
13245.228271484,734
13179.73828125,735
13111.661865234,736
12968.104248047,737
12982.7734375,738
13189.582763672,739
13306.269775391,740
10175.217285156,741
10450.280273438,742
10767.279296875,743
10491.947753906,744
10253.684570312,745
11497.774902344,746
12517.457519531,747
12873.957519531,748
12967.120117188,749
13150.98046875,750
13379.610839844,751
13378.172363281,752
13301.336914062,753
13257.84375,754
13169.303222656,755
13021.485839844,756
12902.885253906,757
12973.394042969,758
13152.631347656,759
13343.607421875,760
10124.992919922,761
10519.237792969,762
11166.108642578,763
11156.602783203,764
10822.551513672,765
11741.391601562,766
12732.122314453,767
12999.746337891,768
12955.146484375,769
12986.128173828,770
13069.899414062,771
12991.139648438,772
13017.853515625,773
13210.725830078,774
13377.342285156,775
13247.542724609,776
13050.754882812,777
12935.609619141,778
12982.0546875,779
13169.578125,780
10035.850097656,781
10621.362792969,782
11631.429931641,783
11696.5390625,784
11189.471679688,785
11995.027099609,786
12879.998535156,787
13129.437255859,788
12972.388671875,789
12739.797607422,790
12548.468261719,791
12341.277099609,792
12479.571289062,793
12933.701660156,794
13396.418457031,795
13417.678955078,796
13271.607910156,797
13131.555175781,798
13085.24609375,799
13200.674072266,800
9855.80078125,801
10632.801269531,802
11685.832519531,803
11549.955810547,804
11087.693359375,805
11959.057128906,806
12719.33203125,807
12995.867675781,808
12999.741455078,809
12672.154785156,810
12389.725097656,811
12240.983398438,812
12408.189941406,813
12770.721679688,814
13036.510742188,815
13122.900634766,816
13376.718994141,817
13624.302246094,818
13629.841796875,819
13586.208740234,820
9708.345214844,821
10358.141845703,822
10970.306396484,823
11147.063964844,824
11596.322265625,825
12188.752685547,826
12652.543457031,827
12955.604003906,828
13108.459472656,829
13043.551757812,830
13046.670654297,831
13200.327392578,832
13346.10546875,833
13446.783447266,834
13412.497802734,835
13302.311523438,836
13548.946777344,837
13813.960693359,838
13818.840820312,839
13701.682617188,840
9628.174560547,841
9982.733154297,842
10220.417480469,843
10588.143066406,844
11422.738037109,845
12213.948242188,846
12767.880126953,847
13069.839355469,848
13281.359863281,849
13394.160888672,850
13577.195800781,851
13812.2421875,852
13936.046386719,853
13950.416015625,854
13778.438720703,855
13557.678955078,856
13718.841064453,857
13842.569335938,858
13759.345947266,859
13671.854492188,860
9509.916503906,861
9749.482666016,862
9780.191650391,863
9892.74609375,864
10380.27734375,865
11582.714599609,866
12863.531005859,867
13242.995361328,868
13452.190429688,869
13492.146972656,870
13485.526123047,871
13538.551025391,872
13538.734375,873
13538.043945312,874
13507.783203125,875
13550.736328125,876
13782.831054688,877
13910.283691406,878
13840.857666016,879
13742.573486328,880
9267.158447266,881
9373.815429688,882
9444.564697266,883
9608.009277344,884
9761.563720703,885
11340.837158203,886
12842.184082031,887
13334.258300781,888
13483.065429688,889
13527.769775391,890
13502.153564453,891
13374.540039062,892
13272.748535156,893
13235.805908203,894
13374.571533203,895
13585.090332031,896
13787.416503906,897
13869.995361328,898
13928.399658203,899
13863.583496094,900
8988.431152344,901
8824.289306641,902
9088.577392578,903
9829.779785156,904
10080.536132812,905
11302.129394531,906
12727.644042969,907
13189.809082031,908
13265.581542969,909
13409.183349609,910
13544.119140625,911
13383.221679688,912
13164.782714844,913
13118.662353516,914
13281.2265625,915
13477.326416016,916
13581.939208984,917
13621.542724609,918
13730.942382812,919
13797.474365234,920
8817.866699219,921
8345.177001953,922
8690.076416016,923
10015.740722656,924
10413.641113281,925
11320.619384766,926
12457.799804688,927
12897.024902344,928
13037.303466797,929
13298.867919922,930
13488.629394531,931
13353.168212891,932
13148.611816406,933
13076.147949219,934
13152.668457031,935
13223.430664062,936
13290.160888672,937
13301.475830078,938
13391.279052734,939
13522.449707031,940
8795.011474609,941
8144.173950195,942
8409.173217773,943
9609.790771484,944
10013.319580078,945
10784.086181641,946
11999.139160156,947
12664.647949219,948
13041.597167969,949
13358.470947266,950
13427.447265625,951
13227.041503906,952
13099.072265625,953
13066.074462891,954
13072.412597656,955
13062.626464844,956
13097.305175781,957
13131.011230469,958
13214.450683594,959
13323.485595703,960
8952.186035156,961
8146.213623047,962
8413.172363281,963
9378.427001953,964
9726.732910156,965
10350.156738281,966
11380.276855469,967
12112.011230469,968
12531.327148438,969
12836.000976562,970
12969.372314453,971
12980.942138672,972
12959.484375,973
12920.975585938,974
12833.655761719,975
12750.541748047,976
12779.658203125,977
12895.804931641,978
13050.866210938,979
13179.360595703,980
9209.868408203,981
8330.55065918,982
8969.418212891,983
9867.791503906,984
9753.778808594,985
10127.544677734,986
11046.105712891,987
11440.552490234,988
11597.465576172,989
11936.896972656,990
12387.005371094,991
12752.878662109,992
12841.761230469,993
12730.325439453,994
12477.213134766,995
12301.001708984,996
12353.008056641,997
12566.253417969,998
12819.915283203,999
13023.604736328,1000
9459.528808594,1001
8841.802734375,1002
9446.510742188,1003
10338.098388672,1004
9678.452880859,1005
10071.788818359,1006
11262.116699219,1007
11584.379150391,1008
11519.512695312,1009
11669.579589844,1010
12157.65625,1011
12618.348388672,1012
12705.842285156,1013
12528.534423828,1014
12148.697265625,1015
11927.256347656,1016
11943.49609375,1017
12155.728515625,1018
12485.278320312,1019
12737.001708984,1020
9590.783691406,1021
9025.480957031,1022
9427.873535156,1023
9923.223632812,1024
9355.849121094,1025
9736.155761719,1026
10981.958007812,1027
11355.793457031,1028
11330.691894531,1029
11428.670898438,1030
11854.116210938,1031
12244.577636719,1032
12313.21875,1033
12113.139160156,1034
11701.631347656,1035
11479.808105469,1036
11479.475585938,1037
11627.255371094,1038
11936.388183594,1039
12194.597167969,1040
9648.411621094,1041
9037.252929688,1042
9246.896484375,1043
9424.281005859,1044
8638.279541016,1045
9367.705566406,1046
10503.847412109,1047
10838.362548828,1048
10778.576660156,1049
10860.161621094,1050
11174.615722656,1051
11490.180175781,1052
11531.541503906,1053
11349.521484375,1054
11070.801269531,1055
10996.277587891,1056
11014.002441406,1057
11021.851074219,1058
11126.956542969,1059
11254.655029297,1060
9579.930419922,1061
9087.518554688,1062
9116.181152344,1063
9157.83984375,1064
8660.175048828,1065
9314.696289062,1066
10356.858154297,1067
10577.704345703,1068
10352.229003906,1069
10279.318115234,1070
10506.261230469,1071
10651.019287109,1072
10620.797363281,1073
10587.278564453,1074
10628.063720703,1075
10679.980224609,1076
10750.694580078,1077
10696.615722656,1078
10595.121582031,1079
10545.023193359,1080
9454.024902344,1081
8991.394287109,1082
9217.576904297,1083
9475.773193359,1084
9113.400634766,1085
9327.851806641,1086
10146.054931641,1087
10330.263427734,1088
10061.967529297,1089
10026.872070312,1090
10298.101318359,1091
10382.863037109,1092
10282.99609375,1093
10216.334716797,1094
10277.591552734,1095
10448.221679688,1096
10583.676513672,1097
10537.635009766,1098
10384.513183594,1099
10413.872558594,1100
9421.596435547,1101
8871.557617188,1102
9204.331054688,1103
9665.281494141,1104
9303.087158203,1105
9314.861083984,1106
9877.525390625,1107
10085.113769531,1108
9898.260498047,1109
9944.595214844,1110
10252.734130859,1111
10297.2734375,1112
10141.380371094,1113
10019.595947266,1114
10046.993896484,1115
10230.303955078,1116
10420.430664062,1117
10339.021240234,1118
10178.543457031,1119
10314.886474609,1120
9390.938964844,1121
8679.719726562,1122
8863.395996094,1123
9560.949462891,1124
9367.220703125,1125
9370.119873047,1126
10093.720947266,1127
10252.46875,1128
10064.354736328,1129
9965.901367188,1130
9998.879150391,1131
10020.256103516,1132
10044.5859375,1133
10077.174560547,1134
10120.454101562,1135
10266.230957031,1136
10322.702880859,1137
10164.409667969,1138
10038.26171875,1139
10225.687744141,1140
9290.394042969,1141
8418.114990234,1142
8696.955322266,1143
9738.524902344,1144
9808.295166016,1145
9567.534667969,1146
10029.022949219,1147
10272.458984375,1148
10219.321289062,1149
10116.877441406,1150
10021.672607422,1151
10008.941894531,1152
10103.569824219,1153
10189.333251953,1154
10240.742675781,1155
10231.180419922,1156
10154.780517578,1157
9997.991210938,1158
9990.073730469,1159
10264.106445312,1160
9210.927246094,1161
8218.985839844,1162
8745.729492188,1163
9994.500976562,1164
10157.254638672,1165
9657.144775391,1166
9734.383056641,1167
10033.077880859,1168
10176.816650391,1169
10218.465820312,1170
10187.671875,1171
10198.760498047,1172
10301.349609375,1173
10348.045166016,1174
10262.504638672,1175
10127.155273438,1176
10000.412109375,1177
9926.264404297,1178
10061.637451172,1179
10409.763427734,1180
9169.935546875,1181
8150.077270508,1182
8612.531005859,1183
9826.346191406,1184
9578.677734375,1185
9191.970458984,1186
9624.6484375,1187
9885.811767578,1188
10003.627441406,1189
10006.166503906,1190
10069.126220703,1191
10248.396972656,1192
10406.578125,1193
10415.572265625,1194
10257.813232422,1195
10015.197753906,1196
9927.598144531,1197
10024.779052734,1198
10193.142578125,1199
10544.559814453,1200
9014.587890625,1201
8054.804077148,1202
8626.099121094,1203
9298.278808594,1204
8856.107666016,1205
8860.140869141,1206
9521.004150391,1207
9877.896972656,1208
9907.719726562,1209
9782.976806641,1210
9832.149169922,1211
10067.260986328,1212
10222.393066406,1213
10211.056152344,1214
9978.458740234,1215
9740.708251953,1216
9760.012451172,1217
9943.776855469,1218
10193.551025391,1219
10557.755859375,1220
8739.660644531,1221
7871.060668945,1222
8349.963134766,1223
8988.92578125,1224
8503.809082031,1225
8747.332763672,1226
9592.245361328,1227
10024.274902344,1228
10022.076416016,1229
9879.693359375,1230
9874.501708984,1231
9989.732910156,1232
10093.762695312,1233
10015.883789062,1234
9822.009765625,1235
9683.927978516,1236
9811.013183594,1237
10054.103027344,1238
10268.224121094,1239
10514.442382812,1240
8487.295898438,1241
7600.400024414,1242
7797.698974609,1243
8606.387939453,1244
8471.604980469,1245
8993.894042969,1246
9767.893066406,1247
10124.445068359,1248
10254.653564453,1249
10302.225097656,1250
10275.026611328,1251
10189.119140625,1252
10162.231933594,1253
10154.027587891,1254
10081.277587891,1255
10056.318847656,1256
10225.609130859,1257
10424.385742188,1258
10543.298583984,1259
10576.466796875,1260
8292.267456055,1261
7420.102416992,1262
7559.548583984,1263
8473.906738281,1264
8584.380371094,1265
8667.849121094,1266
9433.275634766,1267
9853.590820312,1268
10141.184082031,1269
10422.569824219,1270
10466.322021484,1271
10264.814208984,1272
10169.6875,1273
10214.134521484,1274
10274.616699219,1275
10205.635253906,1276
10256.244873047,1277
10361.069824219,1278
10537.157958984,1279
10728.880371094,1280
8227.134765625,1281
7862.565673828,1282
8119.021240234,1283
8921.313476562,1284
9020.845703125,1285
8490.811523438,1286
9065.080566406,1287
9516.002929688,1288
9902.495605469,1289
10364.890136719,1290
10456.827636719,1291
10157.807617188,1292
10010.428710938,1293
10123.904785156,1294
10242.5859375,1295
10035.323242188,1296
9823.093261719,1297
9841.727050781,1298
10192.554199219,1299
10812.139648438,1300
7747.135009766,1301
7958.301635742,1302
8095.799438477,1303
9342.001953125,1304
9691.357910156,1305
8896.173095703,1306
8723.012695312,1307
9219.905029297,1308
9697.748779297,1309
10219.857421875,1310
10310.948974609,1311
9962.574462891,1312
9780.540527344,1313
9840.156982422,1314
9871.692138672,1315
9518.040771484,1316
9030.772460938,1317
9046.368408203,1318
9842.544677734,1319
10787.248291016,1320
6244.245727539,1321
6732.757568359,1322
7022.052490234,1323
8974.483886719,1324
9942.075927734,1325
9050.116943359,1326
8399.239746094,1327
8787.368408203,1328
9357.770263672,1329
9892.947265625,1330
9951.669189453,1331
9586.726806641,1332
9377.201660156,1333
9400.725097656,1334
9408.077880859,1335
9047.365478516,1336
8737.369384766,1337
8985.493408203,1338
10004.002441406,1339
11068.528564453,1340
