OID_,FID,X,Y,Extract_GAL_Yld_Vol_Dr
1,0,-93.531098436763500,44.078019660989192,194.835250854000009
2,1,-93.531098436763500,44.077980660989198,219.142193264000014
3,2,-93.531098436763500,44.077941660989190,226.733437431999988
4,3,-93.531098436763500,44.077902660989189,224.171618991000003
5,4,-93.531098436763500,44.077863660989195,225.027086045999994
6,5,-93.531098436763500,44.077824660989201,232.899439494000006
7,6,-93.531098436763500,44.077785660989193,218.720311482999989
8,7,-93.531098436763500,44.077746660989192,212.053554958999996
9,8,-93.531098436763500,44.077707660989184,220.209308200000009
10,9,-93.531098436763500,44.077668660989190,213.240485296999992
11,10,-93.531098436763500,44.077629660989189,211.592495388000003
12,11,-93.531098436763500,44.077590660989195,216.812389797999998
13,12,-93.531098436763500,44.077551660989187,207.024660745999995
14,13,-93.531098436763500,44.077512660989193,195.382019043000014
15,14,-93.531098436763500,44.077473660989192,200.648935953999995
16,15,-93.531098436763500,44.077434660989191,226.352137247999991
17,16,-93.531098436763500,44.077395660989190,246.834542169000002
18,17,-93.531098436763500,44.077356660989189,239.213494195000010
19,18,-93.531098436763500,44.077317660989195,230.648854574000012
20,19,-93.531098436763500,44.077278660989194,224.870666504000013
21,20,-93.531098436763500,44.077239660989193,209.906772189999998
22,21,-93.531098436763500,44.077200660989192,217.292829724999990
23,22,-93.531098436763500,44.077161660989191,214.060865613999994
24,23,-93.531098436763500,44.077122660989197,176.641291300000006
25,24,-93.531098436763500,44.077083660989189,189.585535684999996
26,25,-93.531098436763500,44.077044660989195,199.740046183000004
27,26,-93.531098436763500,44.077005660989194,198.160630967999992
28,27,-93.531098436763500,44.076966660989186,177.747804430000002
29,28,-93.531098436763500,44.076927660989192,189.392644246000003
30,29,-93.531098436763500,44.076888660989191,192.593514335999998
31,30,-93.531098436763500,44.076849660989190,195.970453897999988
32,31,-93.531098436763500,44.076810660989189,185.439795599999997
33,32,-93.531059436763513,44.078019660989192,205.158393012000005
34,33,-93.531059436763513,44.077980660989198,230.060145059999996
35,34,-93.531059436763513,44.077941660989190,231.681213379000013
36,35,-93.531059436763513,44.077902660989189,224.332466973000010
37,36,-93.531059436763513,44.077863660989195,215.955030652999994
38,37,-93.531059436763513,44.077824660989201,233.166888766999989
39,38,-93.531059436763513,44.077785660989193,218.084164936999997
40,39,-93.531059436763513,44.077746660989192,204.828887938999998
41,40,-93.531059436763513,44.077707660989184,210.771469115999992
42,41,-93.531059436763513,44.077668660989190,212.276626587000010
43,42,-93.531059436763513,44.077629660989189,207.971928913999989
44,43,-93.531059436763513,44.077590660989195,197.090464273999999
45,44,-93.531059436763513,44.077551660989187,188.090154011999999
46,45,-93.531059436763513,44.077512660989193,188.319834391000001
47,46,-93.531059436763513,44.077473660989192,206.320775349999991
48,47,-93.531059436763513,44.077434660989191,232.622233072999990
49,48,-93.531059436763513,44.077395660989190,250.953626845000002
50,49,-93.531059436763513,44.077356660989189,246.347985161999986
51,50,-93.531059436763513,44.077317660989195,235.566397773000006
52,51,-93.531059436763513,44.077278660989194,223.138936360999992
53,52,-93.531059436763513,44.077239660989193,206.938300239000000
54,53,-93.531059436763513,44.077200660989192,219.561794705000011
55,54,-93.531059436763513,44.077161660989191,207.805957369999987
56,55,-93.531059436763513,44.077122660989197,172.758068508999997
57,56,-93.531059436763513,44.077083660989189,191.993608262999999
58,57,-93.531059436763513,44.077044660989195,193.109362284000014
59,58,-93.531059436763513,44.077005660989194,190.714728460999993
60,59,-93.531059436763513,44.076966660989186,175.189922757000005
61,60,-93.531059436763513,44.076927660989192,184.367689345000002
62,61,-93.531059436763513,44.076888660989191,189.621141222000006
63,62,-93.531059436763513,44.076849660989190,193.143179999000012
64,63,-93.531059436763513,44.076810660989189,183.563091702000008
65,64,-93.531020436763498,44.078019660989192,216.821351792999991
66,65,-93.531020436763498,44.077980660989198,231.434717814000010
67,66,-93.531020436763498,44.077941660989190,229.887732612000008
68,67,-93.531020436763498,44.077902660989189,228.596332125999993
69,68,-93.531020436763498,44.077863660989195,213.857549032000009
70,69,-93.531020436763498,44.077824660989201,227.635552300000001
71,70,-93.531020436763498,44.077785660989193,217.778676351000001
72,71,-93.531020436763498,44.077746660989192,204.121356539999994
73,72,-93.531020436763498,44.077707660989184,202.664494832000003
74,73,-93.531020436763498,44.077668660989190,206.658962674000009
75,74,-93.531020436763498,44.077629660989189,198.979227702000003
76,75,-93.531020436763498,44.077590660989195,182.033250597000006
77,76,-93.531020436763498,44.077551660989187,176.239000956000012
78,77,-93.531020436763498,44.077512660989193,183.701193915000005
79,78,-93.531020436763498,44.077473660989192,212.273239136000001
80,79,-93.531020436763498,44.077434660989191,239.493004692999989
81,80,-93.531020436763498,44.077395660989190,254.278459336999987
82,81,-93.531020436763498,44.077356660989189,249.239049276000003
83,82,-93.531020436763498,44.077317660989195,231.681050618000000
84,83,-93.531020436763498,44.077278660989194,216.073336283000003
85,84,-93.531020436763498,44.077239660989193,202.937640719999990
86,85,-93.531020436763498,44.077200660989192,213.450074938000000
87,86,-93.531020436763498,44.077161660989191,207.316102769999986
88,87,-93.531020436763498,44.077122660989197,180.842820909000011
89,88,-93.531020436763498,44.077083660989189,192.052892049000008
90,89,-93.531020436763498,44.077044660989195,185.759918212999992
91,90,-93.531020436763498,44.077005660989194,182.005716960000001
92,91,-93.531020436763498,44.076966660989186,170.119752672000004
93,92,-93.531020436763498,44.076927660989192,182.656789143999987
94,93,-93.531020436763498,44.076888660989191,189.673370360999996
95,94,-93.531020436763498,44.076849660989190,190.127619425000006
96,95,-93.531020436763498,44.076810660989189,178.300469292999992
97,96,-93.530981436763511,44.078019660989192,223.251213073999992
98,97,-93.530981436763511,44.077980660989198,235.217877705999996
99,98,-93.530981436763511,44.077941660989190,228.656303406000006
100,99,-93.530981436763511,44.077902660989189,231.885823568000006
101,100,-93.530981436763511,44.077863660989195,216.796735127999995
102,101,-93.530981436763511,44.077824660989201,220.283983866000000
103,102,-93.530981436763511,44.077785660989193,212.673744201999995
104,103,-93.530981436763511,44.077746660989192,202.120569864999993
105,104,-93.530981436763511,44.077707660989184,201.831011453999992
106,105,-93.530981436763511,44.077668660989190,206.065452576000013
107,106,-93.530981436763511,44.077629660989189,194.879765827999989
108,107,-93.530981436763511,44.077590660989195,174.116193135999993
109,108,-93.530981436763511,44.077551660989187,172.877662659000009
110,109,-93.530981436763511,44.077512660989193,190.373207092000001
111,110,-93.530981436763511,44.077473660989192,219.868245443000006
112,111,-93.530981436763511,44.077434660989191,241.682907104000009
113,112,-93.530981436763511,44.077395660989190,253.927431742000010
114,113,-93.530981436763511,44.077356660989189,247.174580891999994
115,114,-93.530981436763511,44.077317660989195,225.248720805000005
116,115,-93.530981436763511,44.077278660989194,207.044738770000009
117,116,-93.530981436763511,44.077239660989193,199.215405782000005
118,117,-93.530981436763511,44.077200660989192,206.653704325000007
119,118,-93.530981436763511,44.077161660989191,212.050099691000014
120,119,-93.530981436763511,44.077122660989197,192.336235046000013
121,120,-93.530981436763511,44.077083660989189,185.876640320000007
122,121,-93.530981436763511,44.077044660989195,179.742763518999993
123,122,-93.530981436763511,44.077005660989194,178.287996928000013
124,123,-93.530981436763511,44.076966660989186,165.236521403000012
125,124,-93.530981436763511,44.076927660989192,184.736485799000008
126,125,-93.530981436763511,44.076888660989191,191.921312967999995
127,126,-93.530981436763511,44.076849660989190,187.757235208999987
128,127,-93.530981436763511,44.076810660989189,166.329035441000002
129,128,-93.530942436763510,44.078019660989192,227.247716268000005
130,129,-93.530942436763510,44.077980660989198,241.178716024000011
131,130,-93.530942436763510,44.077941660989190,228.660993788000013
132,131,-93.530942436763510,44.077902660989189,235.173673841999999
133,132,-93.530942436763510,44.077863660989195,219.858749390000014
134,133,-93.530942436763510,44.077824660989201,216.736270480999991
135,134,-93.530942436763510,44.077785660989193,207.716293334999989
136,135,-93.530942436763510,44.077746660989192,199.181788127000004
137,136,-93.530942436763510,44.077707660989184,202.736078897999988
138,137,-93.530942436763510,44.077668660989190,205.923334756999992
139,138,-93.530942436763510,44.077629660989189,195.638805813000005
140,139,-93.530942436763510,44.077590660989195,180.996139526000007
141,140,-93.530942436763510,44.077551660989187,182.328631083000005
142,141,-93.530942436763510,44.077512660989193,207.651691013000004
143,142,-93.530942436763510,44.077473660989192,234.381440903999987
144,143,-93.530942436763510,44.077434660989191,244.240244547999993
145,144,-93.530942436763510,44.077395660989190,249.147301567999989
146,145,-93.530942436763510,44.077356660989189,239.301907010000008
147,146,-93.530942436763510,44.077317660989195,222.298288981000013
148,147,-93.530942436763510,44.077278660989194,201.855473835999987
149,148,-93.530942436763510,44.077239660989193,198.176552667000010
150,149,-93.530942436763510,44.077200660989192,208.726986355000008
151,150,-93.530942436763510,44.077161660989191,217.582899306000002
152,151,-93.530942436763510,44.077122660989197,195.031433104999991
153,152,-93.530942436763510,44.077083660989189,178.399368285999998
154,153,-93.530942436763510,44.077044660989195,181.010569255000007
155,154,-93.530942436763510,44.077005660989194,180.557289970999989
