Fields,BoundingBox,X,Y,id,left,top,right,bottom
1,"[-93.5311222643960,44.0779990790811;-93.5310832643960,44.0780380790811]","[-93.5311222643960,-93.5310832643960,-93.5310832643960,-93.5311222643960,-93.5311222643960,NaN]","[44.0780380790811,44.0780380790811,44.0779990790811,44.0779990790811,44.0780380790811,NaN]",1,-93.53112612,44.07803261,-93.53108712,44.07799361
2,"[-93.5311222643960,44.0779600790811;-93.5310832643960,44.0779990790811]","[-93.5311222643960,-93.5310832643960,-93.5310832643960,-93.5311222643960,-93.5311222643960,NaN]","[44.0779990790811,44.0779990790811,44.0779600790811,44.0779600790811,44.0779990790811,NaN]",2,-93.53112612,44.07799361,-93.53108712,44.07795461
3,"[-93.5311222643960,44.0779210790811;-93.5310832643960,44.0779600790811]","[-93.5311222643960,-93.5310832643960,-93.5310832643960,-93.5311222643960,-93.5311222643960,NaN]","[44.0779600790811,44.0779600790811,44.0779210790811,44.0779210790811,44.0779600790811,NaN]",3,-93.53112612,44.07795461,-93.53108712,44.07791561
4,"[-93.5311222643960,44.0778820790811;-93.5310832643960,44.0779210790811]","[-93.5311222643960,-93.5310832643960,-93.5310832643960,-93.5311222643960,-93.5311222643960,NaN]","[44.0779210790811,44.0779210790811,44.0778820790811,44.0778820790811,44.0779210790811,NaN]",4,-93.53112612,44.07791561,-93.53108712,44.07787661
5,"[-93.5311222643960,44.0778430790811;-93.5310832643960,44.0778820790811]","[-93.5311222643960,-93.5310832643960,-93.5310832643960,-93.5311222643960,-93.5311222643960,NaN]","[44.0778820790811,44.0778820790811,44.0778430790811,44.0778430790811,44.0778820790811,NaN]",5,-93.53112612,44.07787661,-93.53108712,44.07783761
6,"[-93.5311222643960,44.0778040790811;-93.5310832643960,44.0778430790811]","[-93.5311222643960,-93.5310832643960,-93.5310832643960,-93.5311222643960,-93.5311222643960,NaN]","[44.0778430790811,44.0778430790811,44.0778040790811,44.0778040790811,44.0778430790811,NaN]",6,-93.53112612,44.07783761,-93.53108712,44.07779861
7,"[-93.5311222643960,44.0777650790811;-93.5310832643960,44.0778040790811]","[-93.5311222643960,-93.5310832643960,-93.5310832643960,-93.5311222643960,-93.5311222643960,NaN]","[44.0778040790811,44.0778040790811,44.0777650790811,44.0777650790811,44.0778040790811,NaN]",7,-93.53112612,44.07779861,-93.53108712,44.07775961
8,"[-93.5311222643960,44.0777260790811;-93.5310832643960,44.0777650790811]","[-93.5311222643960,-93.5310832643960,-93.5310832643960,-93.5311222643960,-93.5311222643960,NaN]","[44.0777650790811,44.0777650790811,44.0777260790811,44.0777260790811,44.0777650790811,NaN]",8,-93.53112612,44.07775961,-93.53108712,44.07772061
9,"[-93.5311222643960,44.0776870790811;-93.5310832643960,44.0777260790811]","[-93.5311222643960,-93.5310832643960,-93.5310832643960,-93.5311222643960,-93.5311222643960,NaN]","[44.0777260790811,44.0777260790811,44.0776870790811,44.0776870790811,44.0777260790811,NaN]",9,-93.53112612,44.07772061,-93.53108712,44.07768161
10,"[-93.5311222643960,44.0776480790811;-93.5310832643960,44.0776870790811]","[-93.5311222643960,-93.5310832643960,-93.5310832643960,-93.5311222643960,-93.5311222643960,NaN]","[44.0776870790811,44.0776870790811,44.0776480790811,44.0776480790811,44.0776870790811,NaN]",10,-93.53112612,44.07768161,-93.53108712,44.07764261
11,"[-93.5311222643960,44.0776090790811;-93.5310832643960,44.0776480790811]","[-93.5311222643960,-93.5310832643960,-93.5310832643960,-93.5311222643960,-93.5311222643960,NaN]","[44.0776480790811,44.0776480790811,44.0776090790811,44.0776090790811,44.0776480790811,NaN]",11,-93.53112612,44.07764261,-93.53108712,44.07760361
12,"[-93.5311222643960,44.0775700790811;-93.5310832643960,44.0776090790811]","[-93.5311222643960,-93.5310832643960,-93.5310832643960,-93.5311222643960,-93.5311222643960,NaN]","[44.0776090790811,44.0776090790811,44.0775700790811,44.0775700790811,44.0776090790811,NaN]",12,-93.53112612,44.07760361,-93.53108712,44.07756461
13,"[-93.5311222643960,44.0775310790811;-93.5310832643960,44.0775700790811]","[-93.5311222643960,-93.5310832643960,-93.5310832643960,-93.5311222643960,-93.5311222643960,NaN]","[44.0775700790811,44.0775700790811,44.0775310790811,44.0775310790811,44.0775700790811,NaN]",13,-93.53112612,44.07756461,-93.53108712,44.07752561
14,"[-93.5311222643960,44.0774920790811;-93.5310832643960,44.0775310790811]","[-93.5311222643960,-93.5310832643960,-93.5310832643960,-93.5311222643960,-93.5311222643960,NaN]","[44.0775310790811,44.0775310790811,44.0774920790811,44.0774920790811,44.0775310790811,NaN]",14,-93.53112612,44.07752561,-93.53108712,44.07748661
15,"[-93.5311222643960,44.0774530790811;-93.5310832643960,44.0774920790811]","[-93.5311222643960,-93.5310832643960,-93.5310832643960,-93.5311222643960,-93.5311222643960,NaN]","[44.0774920790811,44.0774920790811,44.0774530790811,44.0774530790811,44.0774920790811,NaN]",15,-93.53112612,44.07748661,-93.53108712,44.07744761
