Fields,BoundingBox,X,Y,id,left,top,right,bottom
1,"[-93.5396563197029,44.0656256916904;-93.5396177397029,44.0656642716904]","[-93.5396563197029,-93.5396177397029,-93.5396177397029,-93.5396563197029,-93.5396563197029,NaN]","[44.0656642716904,44.0656642716904,44.0656256916904,44.0656256916904,44.0656642716904,NaN]",1,-93.53964751,44.06566587,-93.53960893,44.06562729
2,"[-93.5396563197029,44.0655871116904;-93.5396177397029,44.0656256916904]","[-93.5396563197029,-93.5396177397029,-93.5396177397029,-93.5396563197029,-93.5396563197029,NaN]","[44.0656256916904,44.0656256916904,44.0655871116904,44.0655871116904,44.0656256916904,NaN]",2,-93.53964751,44.06562729,-93.53960893,44.06558871
3,"[-93.5396563197029,44.0655485316904;-93.5396177397029,44.0655871116904]","[-93.5396563197029,-93.5396177397029,-93.5396177397029,-93.5396563197029,-93.5396563197029,NaN]","[44.0655871116904,44.0655871116904,44.0655485316904,44.0655485316904,44.0655871116904,NaN]",3,-93.53964751,44.06558871,-93.53960893,44.06555013
4,"[-93.5396563197029,44.0655099516904;-93.5396177397029,44.0655485316904]","[-93.5396563197029,-93.5396177397029,-93.5396177397029,-93.5396563197029,-93.5396563197029,NaN]","[44.0655485316904,44.0655485316904,44.0655099516904,44.0655099516904,44.0655485316904,NaN]",4,-93.53964751,44.06555013,-93.53960893,44.06551155
5,"[-93.5396563197029,44.0654713716904;-93.5396177397029,44.0655099516904]","[-93.5396563197029,-93.5396177397029,-93.5396177397029,-93.5396563197029,-93.5396563197029,NaN]","[44.0655099516904,44.0655099516904,44.0654713716904,44.0654713716904,44.0655099516904,NaN]",5,-93.53964751,44.06551155,-93.53960893,44.06547297
6,"[-93.5396563197029,44.0654327916904;-93.5396177397029,44.0654713716904]","[-93.5396563197029,-93.5396177397029,-93.5396177397029,-93.5396563197029,-93.5396563197029,NaN]","[44.0654713716904,44.0654713716904,44.0654327916904,44.0654327916904,44.0654713716904,NaN]",6,-93.53964751,44.06547297,-93.53960893,44.06543439
7,"[-93.5396563197029,44.0653942116904;-93.5396177397029,44.0654327916904]","[-93.5396563197029,-93.5396177397029,-93.5396177397029,-93.5396563197029,-93.5396563197029,NaN]","[44.0654327916904,44.0654327916904,44.0653942116904,44.0653942116904,44.0654327916904,NaN]",7,-93.53964751,44.06543439,-93.53960893,44.06539581
8,"[-93.5396563197029,44.0653556316904;-93.5396177397029,44.0653942116904]","[-93.5396563197029,-93.5396177397029,-93.5396177397029,-93.5396563197029,-93.5396563197029,NaN]","[44.0653942116904,44.0653942116904,44.0653556316904,44.0653556316904,44.0653942116904,NaN]",8,-93.53964751,44.06539581,-93.53960893,44.06535723
9,"[-93.5396563197029,44.0653170516904;-93.5396177397029,44.0653556316904]","[-93.5396563197029,-93.5396177397029,-93.5396177397029,-93.5396563197029,-93.5396563197029,NaN]","[44.0653556316904,44.0653556316904,44.0653170516904,44.0653170516904,44.0653556316904,NaN]",9,-93.53964751,44.06535723,-93.53960893,44.06531865
10,"[-93.5396563197029,44.0652784716904;-93.5396177397029,44.0653170516904]","[-93.5396563197029,-93.5396177397029,-93.5396177397029,-93.5396563197029,-93.5396563197029,NaN]","[44.0653170516904,44.0653170516904,44.0652784716904,44.0652784716904,44.0653170516904,NaN]",10,-93.53964751,44.06531865,-93.53960893,44.06528007
11,"[-93.5396563197029,44.0652398916904;-93.5396177397029,44.0652784716904]","[-93.5396563197029,-93.5396177397029,-93.5396177397029,-93.5396563197029,-93.5396563197029,NaN]","[44.0652784716904,44.0652784716904,44.0652398916904,44.0652398916904,44.0652784716904,NaN]",11,-93.53964751,44.06528007,-93.53960893,44.06524149
12,"[-93.5396563197029,44.0652013116904;-93.5396177397029,44.0652398916904]","[-93.5396563197029,-93.5396177397029,-93.5396177397029,-93.5396563197029,-93.5396563197029,NaN]","[44.0652398916904,44.0652398916904,44.0652013116904,44.0652013116904,44.0652398916904,NaN]",12,-93.53964751,44.06524149,-93.53960893,44.06520291
13,"[-93.5396563197029,44.0651627316904;-93.5396177397029,44.0652013116904]","[-93.5396563197029,-93.5396177397029,-93.5396177397029,-93.5396563197029,-93.5396563197029,NaN]","[44.0652013116904,44.0652013116904,44.0651627316904,44.0651627316904,44.0652013116904,NaN]",13,-93.53964751,44.06520291,-93.53960893,44.06516433
14,"[-93.5396563197029,44.0651241516904;-93.5396177397029,44.0651627316904]","[-93.5396563197029,-93.5396177397029,-93.5396177397029,-93.5396563197029,-93.5396563197029,NaN]","[44.0651627316904,44.0651627316904,44.0651241516904,44.0651241516904,44.0651627316904,NaN]",14,-93.53964751,44.06516433,-93.53960893,44.06512575
15,"[-93.5396563197029,44.0650855716904;-93.5396177397029,44.0651241516904]","[-93.5396563197029,-93.5396177397029,-93.5396177397029,-93.5396563197029,-93.5396563197029,NaN]","[44.0651241516904,44.0651241516904,44.0650855716904,44.0650855716904,44.0651241516904,NaN]",15,-93.53964751,44.06512575,-93.53960893,44.06508717
16,"[-93.5396563197029,44.0650469916904;-93.5396177397029,44.0650855716904]","[-93.5396563197029,-93.5396177397029,-93.5396177397029,-93.5396563197029,-93.5396563197029,NaN]","[44.0650855716904,44.0650855716904,44.0650469916904,44.0650469916904,44.0650855716904,NaN]",16,-93.53964751,44.06508717,-93.53960893,44.06504859
17,"[-93.5396563197029,44.0650084116904;-93.5396177397029,44.0650469916904]","[-93.5396563197029,-93.5396177397029,-93.5396177397029,-93.5396563197029,-93.5396563197029,NaN]","[44.0650469916904,44.0650469916904,44.0650084116904,44.0650084116904,44.0650469916904,NaN]",17,-93.53964751,44.06504859,-93.53960893,44.06501001
18,"[-93.5396563197029,44.0649698316904;-93.5396177397029,44.0650084116904]","[-93.5396563197029,-93.5396177397029,-93.5396177397029,-93.5396563197029,-93.5396563197029,NaN]","[44.0650084116904,44.0650084116904,44.0649698316904,44.0649698316904,44.0650084116904,NaN]",18,-93.53964751,44.06501001,-93.53960893,44.06497143
19,"[-93.5396563197029,44.0649312516904;-93.5396177397029,44.0649698316904]","[-93.5396563197029,-93.5396177397029,-93.5396177397029,-93.5396563197029,-93.5396563197029,NaN]","[44.0649698316904,44.0649698316904,44.0649312516904,44.0649312516904,44.0649698316904,NaN]",19,-93.53964751,44.06497143,-93.53960893,44.06493285
20,"[-93.5396563197029,44.0648926716904;-93.5396177397029,44.0649312516904]","[-93.5396563197029,-93.5396177397029,-93.5396177397029,-93.5396563197029,-93.5396563197029,NaN]","[44.0649312516904,44.0649312516904,44.0648926716904,44.0648926716904,44.0649312516904,NaN]",20,-93.53964751,44.06493285,-93.53960893,44.06489427
21,"[-93.5396177397029,44.0656256916904;-93.5395791597029,44.0656642716904]","[-93.5396177397029,-93.5395791597029,-93.5395791597029,-93.5396177397029,-93.5396177397029,NaN]","[44.0656642716904,44.0656642716904,44.0656256916904,44.0656256916904,44.0656642716904,NaN]",22,-93.53960893,44.06566587,-93.53957035,44.06562729
22,"[-93.5396177397029,44.0655871116904;-93.5395791597029,44.0656256916904]","[-93.5396177397029,-93.5395791597029,-93.5395791597029,-93.5396177397029,-93.5396177397029,NaN]","[44.0656256916904,44.0656256916904,44.0655871116904,44.0655871116904,44.0656256916904,NaN]",23,-93.53960893,44.06562729,-93.53957035,44.06558871
23,"[-93.5396177397029,44.0655485316904;-93.5395791597029,44.0655871116904]","[-93.5396177397029,-93.5395791597029,-93.5395791597029,-93.5396177397029,-93.5396177397029,NaN]","[44.0655871116904,44.0655871116904,44.0655485316904,44.0655485316904,44.0655871116904,NaN]",24,-93.53960893,44.06558871,-93.53957035,44.06555013
24,"[-93.5396177397029,44.0655099516904;-93.5395791597029,44.0655485316904]","[-93.5396177397029,-93.5395791597029,-93.5395791597029,-93.5396177397029,-93.5396177397029,NaN]","[44.0655485316904,44.0655485316904,44.0655099516904,44.0655099516904,44.0655485316904,NaN]",25,-93.53960893,44.06555013,-93.53957035,44.06551155
25,"[-93.5396177397029,44.0654713716904;-93.5395791597029,44.0655099516904]","[-93.5396177397029,-93.5395791597029,-93.5395791597029,-93.5396177397029,-93.5396177397029,NaN]","[44.0655099516904,44.0655099516904,44.0654713716904,44.0654713716904,44.0655099516904,NaN]",26,-93.53960893,44.06551155,-93.53957035,44.06547297
26,"[-93.5396177397029,44.0654327916904;-93.5395791597029,44.0654713716904]","[-93.5396177397029,-93.5395791597029,-93.5395791597029,-93.5396177397029,-93.5396177397029,NaN]","[44.0654713716904,44.0654713716904,44.0654327916904,44.0654327916904,44.0654713716904,NaN]",27,-93.53960893,44.06547297,-93.53957035,44.06543439
27,"[-93.5396177397029,44.0653942116904;-93.5395791597029,44.0654327916904]","[-93.5396177397029,-93.5395791597029,-93.5395791597029,-93.5396177397029,-93.5396177397029,NaN]","[44.0654327916904,44.0654327916904,44.0653942116904,44.0653942116904,44.0654327916904,NaN]",28,-93.53960893,44.06543439,-93.53957035,44.06539581
28,"[-93.5396177397029,44.0653556316904;-93.5395791597029,44.0653942116904]","[-93.5396177397029,-93.5395791597029,-93.5395791597029,-93.5396177397029,-93.5396177397029,NaN]","[44.0653942116904,44.0653942116904,44.0653556316904,44.0653556316904,44.0653942116904,NaN]",29,-93.53960893,44.06539581,-93.53957035,44.06535723
29,"[-93.5396177397029,44.0653170516904;-93.5395791597029,44.0653556316904]","[-93.5396177397029,-93.5395791597029,-93.5395791597029,-93.5396177397029,-93.5396177397029,NaN]","[44.0653556316904,44.0653556316904,44.0653170516904,44.0653170516904,44.0653556316904,NaN]",30,-93.53960893,44.06535723,-93.53957035,44.06531865
30,"[-93.5396177397029,44.0652784716904;-93.5395791597029,44.0653170516904]","[-93.5396177397029,-93.5395791597029,-93.5395791597029,-93.5396177397029,-93.5396177397029,NaN]","[44.0653170516904,44.0653170516904,44.0652784716904,44.0652784716904,44.0653170516904,NaN]",31,-93.53960893,44.06531865,-93.53957035,44.06528007
31,"[-93.5396177397029,44.0652398916904;-93.5395791597029,44.0652784716904]","[-93.5396177397029,-93.5395791597029,-93.5395791597029,-93.5396177397029,-93.5396177397029,NaN]","[44.0652784716904,44.0652784716904,44.0652398916904,44.0652398916904,44.0652784716904,NaN]",32,-93.53960893,44.06528007,-93.53957035,44.06524149
32,"[-93.5396177397029,44.0652013116904;-93.5395791597029,44.0652398916904]","[-93.5396177397029,-93.5395791597029,-93.5395791597029,-93.5396177397029,-93.5396177397029,NaN]","[44.0652398916904,44.0652398916904,44.0652013116904,44.0652013116904,44.0652398916904,NaN]",33,-93.53960893,44.06524149,-93.53957035,44.06520291
33,"[-93.5396177397029,44.0651627316904;-93.5395791597029,44.0652013116904]","[-93.5396177397029,-93.5395791597029,-93.5395791597029,-93.5396177397029,-93.5396177397029,NaN]","[44.0652013116904,44.0652013116904,44.0651627316904,44.0651627316904,44.0652013116904,NaN]",34,-93.53960893,44.06520291,-93.53957035,44.06516433
34,"[-93.5396177397029,44.0651241516904;-93.5395791597029,44.0651627316904]","[-93.5396177397029,-93.5395791597029,-93.5395791597029,-93.5396177397029,-93.5396177397029,NaN]","[44.0651627316904,44.0651627316904,44.0651241516904,44.0651241516904,44.0651627316904,NaN]",35,-93.53960893,44.06516433,-93.53957035,44.06512575
35,"[-93.5396177397029,44.0650855716904;-93.5395791597029,44.0651241516904]","[-93.5396177397029,-93.5395791597029,-93.5395791597029,-93.5396177397029,-93.5396177397029,NaN]","[44.0651241516904,44.0651241516904,44.0650855716904,44.0650855716904,44.0651241516904,NaN]",36,-93.53960893,44.06512575,-93.53957035,44.06508717
36,"[-93.5396177397029,44.0650469916904;-93.5395791597029,44.0650855716904]","[-93.5396177397029,-93.5395791597029,-93.5395791597029,-93.5396177397029,-93.5396177397029,NaN]","[44.0650855716904,44.0650855716904,44.0650469916904,44.0650469916904,44.0650855716904,NaN]",37,-93.53960893,44.06508717,-93.53957035,44.06504859
37,"[-93.5396177397029,44.0650084116904;-93.5395791597029,44.0650469916904]","[-93.5396177397029,-93.5395791597029,-93.5395791597029,-93.5396177397029,-93.5396177397029,NaN]","[44.0650469916904,44.0650469916904,44.0650084116904,44.0650084116904,44.0650469916904,NaN]",38,-93.53960893,44.06504859,-93.53957035,44.06501001
38,"[-93.5396177397029,44.0649698316904;-93.5395791597029,44.0650084116904]","[-93.5396177397029,-93.5395791597029,-93.5395791597029,-93.5396177397029,-93.5396177397029,NaN]","[44.0650084116904,44.0650084116904,44.0649698316904,44.0649698316904,44.0650084116904,NaN]",39,-93.53960893,44.06501001,-93.53957035,44.06497143
39,"[-93.5396177397029,44.0649312516904;-93.5395791597029,44.0649698316904]","[-93.5396177397029,-93.5395791597029,-93.5395791597029,-93.5396177397029,-93.5396177397029,NaN]","[44.0649698316904,44.0649698316904,44.0649312516904,44.0649312516904,44.0649698316904,NaN]",40,-93.53960893,44.06497143,-93.53957035,44.06493285
40,"[-93.5396177397029,44.0648926716904;-93.5395791597029,44.0649312516904]","[-93.5396177397029,-93.5395791597029,-93.5395791597029,-93.5396177397029,-93.5396177397029,NaN]","[44.0649312516904,44.0649312516904,44.0648926716904,44.0648926716904,44.0649312516904,NaN]",41,-93.53960893,44.06493285,-93.53957035,44.06489427
41,"[-93.5395791597029,44.0656256916904;-93.5395405797029,44.0656642716904]","[-93.5395791597029,-93.5395405797029,-93.5395405797029,-93.5395791597029,-93.5395791597029,NaN]","[44.0656642716904,44.0656642716904,44.0656256916904,44.0656256916904,44.0656642716904,NaN]",43,-93.53957035,44.06566587,-93.53953177,44.06562729
42,"[-93.5395791597029,44.0655871116904;-93.5395405797029,44.0656256916904]","[-93.5395791597029,-93.5395405797029,-93.5395405797029,-93.5395791597029,-93.5395791597029,NaN]","[44.0656256916904,44.0656256916904,44.0655871116904,44.0655871116904,44.0656256916904,NaN]",44,-93.53957035,44.06562729,-93.53953177,44.06558871
43,"[-93.5395791597029,44.0655485316904;-93.5395405797029,44.0655871116904]","[-93.5395791597029,-93.5395405797029,-93.5395405797029,-93.5395791597029,-93.5395791597029,NaN]","[44.0655871116904,44.0655871116904,44.0655485316904,44.0655485316904,44.0655871116904,NaN]",45,-93.53957035,44.06558871,-93.53953177,44.06555013
