,Mean.Yld.bu.ac
0,0.6524898721964489
1,0.6785047004876796
2,0.6925826880253834
3,0.7011255385463679
4,0.6715345941279978
5,0.6822712264855497
6,0.6176861802232407
7,0.651119989640125
8,0.6362495042172678
9,0.6136504523790223
10,0.6263429118244239
11,0.5870354703395133
12,0.5246418874544283
13,0.5587918511971861
14,0.689311120793781
15,0.8191425806407402
16,0.7706294348537104
17,0.7059514894330916
18,0.6538475257515197
19,0.615572226794677
20,0.6557528048185803
21,0.4744603097479778
22,0.3978604623867752
23,0.4830787533510317
24,0.5304069604355379
25,0.4560801602618949
26,0.45359328649891073
27,0.4397873601720552
28,0.5019776676553975
29,0.46487200446163635
30,0.46779078083796133
31,0.6324190424270324
32,0.6882708373362403
33,0.721571077739207
34,0.6801239645810058
35,0.6950378819297387
36,0.6636035431268226
37,0.6638084076798494
38,0.5927753541345782
39,0.607069675936786
40,0.6062576023983246
41,0.5727275953979434
42,0.5184720760525721
43,0.4997490531413846
44,0.4599194442364798
45,0.600810132948157
46,0.7479137542584335
47,0.8451216629470695
48,0.8142933690339824
49,0.7262310821623865
50,0.6216050596931324
51,0.6074319714110876
52,0.62942492249489
53,0.4526282318884145
54,0.3931410399837303
55,0.45570082718392
56,0.4904704403818174
57,0.4193922132100125
58,0.41159914806914455
59,0.4033726302826175
60,0.4755547406128191
61,0.4794386389354808
62,0.45485876905013645
63,0.6618454740941377
64,0.7166663675652531
65,0.7363161651952566
66,0.6499007741050211
67,0.6800496493942536
68,0.6285978366397877
69,0.6545538032248026
70,0.5707873883943935
71,0.5800646313152049
72,0.5862899625586999
73,0.5331375238205045
74,0.4387347758185898
75,0.39248578949320967
76,0.4404830300245257
77,0.6365900766863481
78,0.799703017962776
79,0.8683711377841334
80,0.8333693074410415
81,0.7314859354088226
82,0.5943877814621343
83,0.5819735375147079
84,0.6324695921945358
85,0.45660059381519513
86,0.4244957847123014
87,0.42995735895311493
88,0.4547375189211724
89,0.3808754487854049
90,0.36704448777861076
91,0.3874943589772215
92,0.45950165949717814
93,0.44557648059606314
94,0.4237531267207091
95,0.719702841417992
96,0.7317306827492871
97,0.7350225685476155
98,0.6620499845855814
99,0.6638669123301171
100,0.6506357443750288
101,0.6204625242902986
102,0.5634838881976547
103,0.55021395781807
104,0.5245560961723594
105,0.49468217357271116
106,0.394505532453409
107,0.3545376373687279
108,0.4732964824079453
109,0.6466691664103705
110,0.8211462327690424
111,0.8735621691570525
112,0.8015177799275932
113,0.6920168896795755
114,0.5604217700914391
115,0.5510980211356318
116,0.6262800602975838
117,0.5070259833008233
118,0.43855697866300214
119,0.43789732758895483
120,0.41189585618041114
121,0.3462535365016195
122,0.3895619647902935
123,0.4132885509635207
124,0.4782735037642518
125,0.42110022083832077
126,0.37716113299460785
127,0.7619476946576369
128,0.7491766787623462
129,0.7560222259720115
130,0.6895377264160243
131,0.6942549248432064
132,0.6190710402243309
133,0.589181846597554
134,0.5493122422852443
135,0.5588423759787775
136,0.5540559235118709
137,0.5247835843081996
138,0.4259961074515568
139,0.39884006445077413
140,0.6003929338630003
141,0.7395899474636771
142,0.8333513449143213
143,0.8437529748381858
144,0.7676191241608563
145,0.6616245245776968
146,0.5565743737649935
147,0.5626389472033357
148,0.6221641754270721
149,0.5620627497869792
150,0.4209779485284886
151,0.4156536956565935
152,0.39568345253576487
153,0.34346937132105304
154,0.39524053341241405
155,0.4319252174796151
156,0.4595925472018936
157,0.3722033237062532
158,0.28354386107246543
159,0.7828329819895765
160,0.7463300227478202
161,0.7858723465555271
162,0.7147536482120027
163,0.7053679293845625
164,0.6177772163251345
165,0.5941771688710151
166,0.5608267228966672
167,0.5820077587728563
168,0.605214774695696
169,0.5800725225751171
170,0.5805725955543852
171,0.6026652162120079
172,0.7296689356045607
173,0.8056791422236245
174,0.8162042039398734
175,0.7951904786565716
176,0.7388211849371089
177,0.6807669453356713
178,0.5759596815388008
179,0.6199188805720572
180,0.6302813032133678
181,0.573083483225437
182,0.39768885897794015
183,0.3887356734255256
184,0.40349374053081566
185,0.39648883856454886
186,0.4302338074322323
187,0.45108933863491907
188,0.4331042883057401
189,0.28034158017341415
190,0.18819553713953052
191,0.7688341394959746
192,0.7472416844117227
193,0.7821559611302076
194,0.7231695571678618
195,0.6987044176471859
196,0.6204019357533455
197,0.609085940742355
198,0.5859922445362229
199,0.6302457011341822
200,0.6487442716196259
201,0.6676470038905031
202,0.7022775485139829
203,0.7049770915838403
204,0.8317810183863501
205,0.8608961021771073
206,0.8066360041358276
207,0.7701576199367264
208,0.7512334127802394
209,0.726683965692293
210,0.641115010314826
211,0.6647635063118216
212,0.6301095605646274
213,0.551131279462933
214,0.38238238126035085
215,0.3794730044180292
216,0.46025422815512185
217,0.48053607739145243
218,0.4730668544443595
219,0.468533129892704
220,0.3806122215091059
221,0.2653958086862185
222,0.11447217257259723
223,0.7286974040958074
224,0.7156585168910445
225,0.7401743861558157
226,0.7149096974390978
227,0.6819139997191968
228,0.6209763146261262
229,0.6073571593901093
230,0.6118323890672597
231,0.6261446524751728
232,0.6960904394939145
233,0.7312566896393149
234,0.721038436088159
235,0.747743805323704
236,0.8613469657241237
237,0.8449263648660672
238,0.7913065827083325
239,0.7728154099918225
240,0.749811561989973
241,0.7537778657396161
242,0.687488161179802
243,0.6719403779283515
244,0.6278736823063222
245,0.556254351192836
246,0.4089961064281591
247,0.3938418614449599
248,0.5011259085713786
249,0.5302688460637344
250,0.5386816312398726
251,0.46012253503816836
252,0.34058393269694065
253,0.26070680218514775
254,0.06789905956597386
255,0.7046562983796945
256,0.6975471372688127
257,0.6846650530216289
258,0.6668168651596464
259,0.6452280185129462
260,0.6319217074512817
261,0.6390663412938209
262,0.6416049805498898
263,0.6578793222450399
264,0.7334310550385061
265,0.7369994801224851
266,0.7414332804281292
267,0.7879514028518493
268,0.8737689372446495
269,0.7874586857218766
270,0.7658904624467089
271,0.752890795290962
272,0.7274382038259322
273,0.7501521917345906
274,0.6895588394038814
275,0.6717115704310042
276,0.6057923941922938
277,0.5727149169622929
278,0.42475753308939
279,0.36863264771062565
280,0.4682881163654453
281,0.5215267169432851
282,0.5010289789582991
283,0.4194797500205205
284,0.30904217331079886
285,0.17758969030497784
286,0.051098204594453356
287,0.7043551975157585
288,0.6588374913619082
289,0.6873124262579482
290,0.6784608695304892
291,0.6773272337144156
292,0.6572939548672094
293,0.6919898553131665
294,0.6979931567363049
295,0.7348098110614558
296,0.7624392206991644
297,0.7618512028518791
298,0.7733905937091818
299,0.7818938601866303
300,0.8371238909872383
301,0.7409562992352896
302,0.7241488353831063
303,0.7106817120010864
304,0.7012529112942816
305,0.7310172113848135
306,0.6584638744682447
307,0.636033942774022
308,0.5827889639792705
309,0.5452286466336136
310,0.4414879091600368
311,0.3461475387660218
312,0.4067026681847574
313,0.4262230824495332
314,0.3986284503400186
315,0.3740847236989
316,0.2538299803538815
317,0.2276081886795447
318,0.030277919190943914
319,0.6967272283954082
320,0.6902318935363418
321,0.7270821370651268
322,0.7186766319601703
323,0.7658911991319348
324,0.7465958849396388
325,0.7647279831900529
326,0.7597790068657551
327,0.8052312176838101
328,0.8023865138114736
329,0.8048603197883122
330,0.753084175220849
331,0.7950959062355529
332,0.7944763751338793
333,0.7325857034880692
334,0.6975161069209281
335,0.6861258433652837
336,0.6969049206593847
337,0.7163720182757101
338,0.6126177691397996
339,0.6018206024897002
340,0.5164644784642469
341,0.4743776127470811
342,0.38177316929121075
343,0.32499479487437055
344,0.34406743563020514
345,0.3464709515078743
346,0.3082259463812864
347,0.2750760518526678
348,0.22772992201400988
349,0.1331254037451962
350,0.0
351,0.7278100128818299
