,Red,Green,Blue,BI,GLI,NGRDI,VARI,BGI,ExG,ExR,ExB,ExGR,MGRVI,RGBVI,GRRI,VEG
1267,0.16490217773977772,0.19467171255630933,0.1470274023823514,0.17369264461536366,0.7881834798792604,0.7219822986884142,0.6946217567837453,0.17990211615440144,0.29618295355857904,0.28072896481839155,0.1739833175395732,0.29641729171022624,0.7391664143630972,0.8059832372390763,0.6841867621672915,0.7353887196901834
1268,0.17474727153850017,0.20744412071430873,0.1633860370706693,0.18653283167494245,0.761513726615453,0.7195971128114756,0.7058365628423003,0.22586910917725334,0.3037922335718125,0.2847214136704194,0.22422439057954346,0.3040255611377699,0.7368641103441778,0.779445557538454,0.6816203097231881,0.7141766363231303
1269,0.18099632852185277,0.20082139055830905,0.1651621174082581,0.18537446061907453,0.6968531361823753,0.6405314092209632,0.6286805718331748,0.26799124585644174,0.2652909308961582,0.36448642414212895,0.2739814485241241,0.26526215905194317,0.6599554115562432,0.7180252863298431,0.5978309318516573,0.639727368045492
1270,0.17330131267917315,0.1990259426101728,0.16404038245820196,0.18211482437484655,0.7196522532908047,0.6851969729649424,0.6798469701461375,0.269267746294108,0.27277614656134974,0.320247591032927,0.27296025342812047,0.27287513066536373,0.7035425047478956,0.7390104406250952,0.6448604865286574,0.6712495940985392
1271,0.17435749132424683,0.21421736746476294,0.1694754553709738,0.19122984146231953,0.7774063362384735,0.757735637579641,0.7515315718901804,0.2332735455323789,0.3210578553409701,0.2472287173183007,0.23008896342749074,0.32141332420108903,0.7735501079402343,0.7936895770097625,0.7229353835521937,0.7391264526227488
1272,0.18493185133028212,0.2147226731747175,0.1710912878585546,0.19472298520981052,0.7357373536182754,0.6864894240273892,0.6728942430563617,0.24109486393562296,0.3031098796575824,0.31807510366744024,0.24257974640800983,0.3032531851639425,0.7047983628966472,0.7551212467804673,0.646233040755527,0.6837382003669763
1273,0.1859754564200573,0.22001225635126265,0.17581859943379097,0.19874135765299433,0.7433857641536987,0.7067036464782591,0.6974767289350948,0.2465208745010803,0.31442041272073107,0.2982103633325222,0.2473066385744217,0.31463117824053544,0.7244004276726841,0.7618899281310003,0.667786778662522,0.6961719158473074
1274,0.18136096162550924,0.22792512874544413,0.17381550130869083,0.20097445016801013,0.8077085103916495,0.7790907184028205,0.7649050535962217,0.19880622164772888,0.3555477440966046,0.22472462825840794,0.1912021655501528,0.35600715851099396,0.7939722942924883,0.8227598847503594,0.7463310951075743,0.7696352804150153
1275,0.19893879193280684,0.24930923634330682,0.17898349447144923,0.21761781004465658,0.8346420060047779,0.7661094770347169,0.7313972228253375,0.13839053894162934,0.40089326330590125,0.2351804734486635,0.12543273163159752,0.40138230333520986,0.7815684365774953,0.8499566965006764,0.7320867911609819,0.7862044839185947
1276,0.22780767489815423,0.27318761893498755,0.20615885903530795,0.24365044764095917,0.7631795829608454,0.6935978962033064,0.6681521344009104,0.19798835506796975,0.4031884537446755,0.30961749580659664,0.19546423582709738,0.40348143494080013,0.7117001133947898,0.782382506083009,0.6537939578506524,0.7068968943562282
