OID_,FID,X,Y,Dry_yld_22
154,153,-93.531028170859315,44.076870448039934,14550.685167101000843
155,154,-93.531028170859315,44.076831448039933,14225.757731120000244
156,155,-93.530989170859343,44.078001448039934,14716.525032551999175
157,156,-93.530989170859343,44.077962448039933,14649.662679036000554
158,157,-93.530989170859343,44.077923448039925,14465.155653211999379
159,158,-93.530989170859343,44.077884448039931,14262.489680990000124
160,159,-93.530989170859343,44.077845448039938,14116.433946397999534
161,160,-93.530989170859343,44.077806448039937,14055.277099609000288
162,161,-93.530989170859343,44.077767448039928,14042.220567491000111
163,162,-93.530989170859343,44.077728448039935,14040.534667968999202
164,163,-93.530989170859343,44.077689448039933,14041.004692925000199
165,164,-93.530989170859343,44.077650448039932,13986.365234375000000
166,165,-93.530989170859343,44.077611448039931,13945.159206813999845
167,166,-93.530989170859343,44.077572448039938,14062.152408854000896
168,167,-93.530989170859343,44.077533448039937,14304.389675563999845
169,168,-93.530989170859343,44.077494448039936,14493.696614582999246
170,169,-93.530989170859343,44.077455448039935,14570.018310547000510
171,170,-93.530989170859343,44.077416448039934,14617.074381509999512
172,171,-93.530989170859343,44.077377448039933,14569.752468533000865
173,172,-93.530989170859343,44.077338448039924,14513.379367404999357
174,173,-93.530989170859343,44.077299448039945,14552.503228081999623
175,174,-93.530989170859343,44.077260448039937,14607.533170573000461
176,175,-93.530989170859343,44.077221448039936,14657.977593315999911
177,176,-93.530989170859343,44.077182448039927,14739.587402343999202
178,177,-93.530989170859343,44.077143448039934,14779.688585068999600
179,178,-93.530989170859343,44.077104448039933,14748.237402344000657
180,179,-93.530989170859343,44.077065448039932,14801.234754773999157
181,180,-93.530989170859343,44.077026448039931,14905.017144097000710
182,181,-93.530989170859343,44.076987448039937,14983.085096570999667
183,182,-93.530989170859343,44.076948448039936,15029.909798176999175
184,183,-93.530989170859343,44.076909448039935,14875.696940104000532
185,184,-93.530989170859343,44.076870448039934,14448.816921658000865
186,185,-93.530989170859343,44.076831448039933,13984.066406250000000
187,186,-93.530950170859313,44.078001448039934,14508.071907551999175
188,187,-93.530950170859313,44.077962448039933,14400.921712240000488
189,188,-93.530950170859313,44.077923448039925,14281.697970920000444
190,189,-93.530950170859313,44.077884448039931,14204.652994792000754
191,190,-93.530950170859313,44.077845448039938,14100.048692491000111
192,191,-93.530950170859313,44.077806448039937,14039.862738715000887
193,192,-93.530950170859313,44.077767448039928,13976.633816188999845
194,193,-93.530950170859313,44.077728448039935,13960.466829426999539
195,194,-93.530950170859313,44.077689448039933,13988.851182726000843
196,195,-93.530950170859313,44.077650448039932,14028.458713108000666
197,196,-93.530950170859313,44.077611448039931,14080.625515408000865
198,197,-93.530950170859313,44.077572448039938,14157.478124999999636
199,198,-93.530950170859313,44.077533448039937,14295.154893663000621
200,199,-93.530950170859313,44.077494448039936,14403.822808159999113
201,200,-93.530950170859313,44.077455448039935,14452.636962890999712
202,201,-93.530950170859313,44.077416448039934,14467.912500000000364
203,202,-93.530950170859313,44.077377448039933,14484.766818575999423
204,203,-93.530950170859313,44.077338448039924,14618.280381943999600
205,204,-93.530950170859313,44.077299448039945,14804.802300347000710
206,205,-93.530950170859313,44.077260448039937,14846.188053384999876
207,206,-93.530950170859313,44.077221448039936,14800.120415581999623
208,207,-93.530950170859313,44.077182448039927,14798.743489582999246
209,208,-93.530950170859313,44.077143448039934,14742.679877386999578
210,209,-93.530950170859313,44.077104448039933,14687.467545572999370
211,210,-93.530950170859313,44.077065448039932,14723.310682508999889
212,211,-93.530950170859313,44.077026448039931,14788.267822265999712
213,212,-93.530950170859313,44.076987448039937,14878.599690754999756
214,213,-93.530950170859313,44.076948448039936,14933.907519530999707
215,214,-93.530950170859313,44.076909448039935,14724.911214192999978
216,215,-93.530950170859313,44.076870448039934,14205.907660590000887
217,216,-93.530950170859313,44.076831448039933,13674.854600693999600
218,217,-93.530911170859326,44.078001448039934,14399.037148437999349
219,218,-93.530911170859326,44.077962448039933,14263.868326822999734
220,219,-93.530911170859326,44.077923448039925,14190.791243490000852
221,220,-93.530911170859326,44.077884448039931,14176.925820312999349
222,221,-93.530911170859326,44.077845448039938,14109.319531249999272
