OID_,FID,X,Y,Elevation_22
1,0,-93.531184170859305,44.078001448039934,1155.331604003999928
2,1,-93.531184170859305,44.077962448039933,1155.161638047999986
3,2,-93.531184170859305,44.077923448039925,1154.807308620999947
4,3,-93.531184170859305,44.077884448039931,1154.167928059999895
5,4,-93.531184170859305,44.077845448039938,1153.359581840999908
6,5,-93.531184170859305,44.077806448039937,1152.408803304000003
7,6,-93.531184170859305,44.077767448039928,1151.677239311999983
8,7,-93.531184170859305,44.077728448039935,1151.096606444999907
9,8,-93.531184170859305,44.077689448039933,1150.415768093999986
10,9,-93.531184170859305,44.077650448039932,1149.589168971999925
11,10,-93.531184170859305,44.077611448039931,1149.025990804000003
12,11,-93.531184170859305,44.077572448039938,1148.869384765999939
13,12,-93.531184170859305,44.077533448039937,1148.798027886000000
14,13,-93.531184170859305,44.077494448039936,1148.563178167999922
15,14,-93.531184170859305,44.077455448039935,1148.485799154000006
16,15,-93.531184170859305,44.077416448039934,1148.557763671999965
17,16,-93.531184170859305,44.077377448039933,1148.594794378999950
18,17,-93.531184170859305,44.077338448039924,1148.458875867999950
19,18,-93.531184170859305,44.077299448039945,1148.344251844999917
20,19,-93.531184170859305,44.077260448039937,1148.508890787999917
21,20,-93.531184170859305,44.077221448039936,1148.541893852999920
22,21,-93.531184170859305,44.077182448039927,1148.482259115000033
23,22,-93.531184170859305,44.077143448039934,1148.440053304000003
24,23,-93.531184170859305,44.077104448039933,1148.079545085000063
25,24,-93.531184170859305,44.077065448039932,1147.449452717999975
26,25,-93.531184170859305,44.077026448039931,1146.546006944000055
27,26,-93.531184170859305,44.076987448039937,1146.054314507000072
28,27,-93.531184170859305,44.076948448039936,1145.847054035999918
29,28,-93.531184170859305,44.076909448039935,1145.453426784999920
30,29,-93.531184170859305,44.076870448039934,1145.020284016999994
31,30,-93.531184170859305,44.076831448039933,1144.430813259999923
32,31,-93.531145170859304,44.078001448039934,1154.750533039999937
33,32,-93.531145170859304,44.077962448039933,1154.598080105000008
34,33,-93.531145170859304,44.077923448039925,1154.243306478000022
35,34,-93.531145170859304,44.077884448039931,1153.587166341000056
36,35,-93.531145170859304,44.077845448039938,1152.773552788999950
37,36,-93.531145170859304,44.077806448039937,1151.817986382000072
38,37,-93.531145170859304,44.077767448039928,1151.112555610000072
39,38,-93.531145170859304,44.077728448039935,1150.549186197999916
40,39,-93.531145170859304,44.077689448039933,1149.888163248999945
41,40,-93.531145170859304,44.077650448039932,1149.087941488000070
42,41,-93.531145170859304,44.077611448039931,1148.554846869999892
43,42,-93.531145170859304,44.077572448039938,1148.427115884999921
44,43,-93.531145170859304,44.077533448039937,1148.380157471000075
45,44,-93.531145170859304,44.077494448039936,1148.171742756999947
46,45,-93.531145170859304,44.077455448039935,1148.113884820000067
47,46,-93.531145170859304,44.077416448039934,1148.206848145000095
48,47,-93.531145170859304,44.077377448039933,1148.260993110000072
49,48,-93.531145170859304,44.077338448039924,1148.160227458000008
50,49,-93.531145170859304,44.077299448039945,1148.083390977999898
51,50,-93.531145170859304,44.077260448039937,1148.280891927000084
52,51,-93.531145170859304,44.077221448039936,1148.374047173000008
53,52,-93.531145170859304,44.077182448039927,1148.352376302000039
54,53,-93.531145170859304,44.077143448039934,1148.338829887999964
55,54,-93.531145170859304,44.077104448039933,1148.009208170999955
56,55,-93.531145170859304,44.077065448039932,1147.370785182999953
57,56,-93.531145170859304,44.077026448039931,1146.486653645999922
58,57,-93.531145170859304,44.076987448039937,1145.994781494000108
59,58,-93.531145170859304,44.076948448039936,1145.780879720000030
60,59,-93.531145170859304,44.076909448039935,1145.397155762000011
61,60,-93.531145170859304,44.076870448039934,1144.948933918999955
62,61,-93.531145170859304,44.076831448039933,1144.322753905999889
63,62,-93.531106170859317,44.078001448039934,1154.096321615000079
64,63,-93.531106170859317,44.077962448039933,1153.956732855999917
65,64,-93.531106170859317,44.077923448039925,1153.604763455000011
66,65,-93.531106170859317,44.077884448039931,1152.951757813000086
67,66,-93.531106170859317,44.077845448039938,1152.156409369999892
68,67,-93.531106170859317,44.077806448039937,1151.200327555000058
69,68,-93.531106170859317,44.077767448039928,1150.509629991000111
70,69,-93.531106170859317,44.077728448039935,1149.966231283000070
71,70,-93.531106170859317,44.077689448039933,1149.320363363000070
72,71,-93.531106170859317,44.077650448039932,1148.526909722000028
73,72,-93.531106170859317,44.077611448039931,1148.024241130000064
74,73,-93.531106170859317,44.077572448039938,1147.943522134999967
